
Attaching file multidimfit.mumu_d_2017.root as _file0...
(TFile *) 0x3c19390

  RooFitResult: minimized FCN value: -8.23422e-05, estimated distance to minimum: 2.59836e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    6.7235e-02 +/-  8.86e-02
                    A4    1.4201e+00 +/-  1.16e-01
               FAC1718    2.8473e-01 +/-  9.56e-01
        MCStatBin10y17   -1.9830e-01 +/-  9.73e-01
        MCStatBin11y17   -3.8713e-01 +/-  9.79e-01
        MCStatBin15y17   -2.2288e-01 +/-  9.74e-01
        MCStatBin16y17    3.2620e-01 +/-  9.69e-01
        MCStatBin17y17    1.9882e-01 +/-  9.78e-01
         MCStatBin1y17    2.1886e-01 +/-  9.93e-01
        MCStatBin21y17   -2.9213e-02 +/-  9.97e-01
        MCStatBin22y17    2.9206e-02 +/-  9.95e-01
        MCStatBin23y17    1.3238e-02 +/-  9.95e-01
        MCStatBin24y17    1.1765e-01 +/-  9.94e-01
        MCStatBin29y17    6.3867e-02 +/-  9.95e-01
         MCStatBin2y17    5.6756e-01 +/-  9.76e-01
        MCStatBin30y17   -3.6495e-02 +/-  9.95e-01
        MCStatBin31y17   -1.0123e-01 +/-  9.96e-01
        MCStatBin35y17   -9.3529e-02 +/-  9.92e-01
        MCStatBin36y17    4.7969e-02 +/-  9.91e-01
        MCStatBin37y17    4.4895e-02 +/-  9.94e-01
         MCStatBin3y17    5.0158e-02 +/-  9.74e-01
        MCStatBin41y17    4.5931e-02 +/-  9.98e-01
        MCStatBin42y17    2.8996e-02 +/-  9.97e-01
        MCStatBin43y17   -5.1484e-02 +/-  9.98e-01
        MCStatBin44y17   -5.8337e-02 +/-  9.98e-01
        MCStatBin49y17   -1.5070e-01 +/-  9.99e-01
         MCStatBin4y17    4.9431e-02 +/-  9.77e-01
        MCStatBin50y17   -1.1477e-01 +/-  9.99e-01
        MCStatBin51y17    7.3261e-02 +/-  9.97e-01
        MCStatBin55y17   -8.3787e-06 +/-  9.97e-01
