
Attaching file multidimfit.mumu_d_2018.root as _file0...
(TFile *) 0x17f5240

  RooFitResult: minimized FCN value: -3.33281e-08, estimated distance to minimum: 3.43988e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.0731e-02 +/-  7.52e-02
                    A4    1.7474e+00 +/-  9.71e-02
               FAC1718    2.4863e-01 +/-  9.15e-01
        MCStatBin10y18   -2.4360e-01 +/-  9.65e-01
        MCStatBin11y18    6.3330e-02 +/-  9.69e-01
        MCStatBin15y18   -6.1321e-02 +/-  9.63e-01
        MCStatBin16y18    1.1114e-02 +/-  9.60e-01
        MCStatBin17y18    4.4492e-01 +/-  9.71e-01
         MCStatBin1y18    1.5474e-01 +/-  9.90e-01
        MCStatBin21y18    1.5988e-02 +/-  9.96e-01
        MCStatBin22y18   -1.3102e-01 +/-  9.94e-01
        MCStatBin23y18    1.8272e-01 +/-  1.01e+00
        MCStatBin24y18   -1.0004e-01 +/-  9.94e-01
        MCStatBin29y18    1.9729e-01 +/-  9.91e-01
         MCStatBin2y18    2.0251e-01 +/-  9.70e-01
        MCStatBin30y18    1.7072e-01 +/-  9.91e-01
        MCStatBin31y18   -9.2043e-02 +/-  1.01e+00
        MCStatBin35y18   -1.0976e-01 +/-  9.89e-01
        MCStatBin36y18   -3.6311e-01 +/-  1.01e+00
        MCStatBin37y18    2.0473e-01 +/-  9.90e-01
         MCStatBin3y18    1.2408e-01 +/-  9.62e-01
        MCStatBin41y18   -1.6571e-02 +/-  1.01e+00
        MCStatBin42y18    2.4675e-02 +/-  9.98e-01
        MCStatBin43y18   -1.1099e-01 +/-  9.98e-01
        MCStatBin44y18   -8.7704e-02 +/-  9.99e-01
        MCStatBin49y18    1.5684e-02 +/-  9.97e-01
         MCStatBin4y18   -5.3994e-02 +/-  9.73e-01
        MCStatBin50y18   -2.9494e-02 +/-  9.98e-01
        MCStatBin51y18    3.9009e-02 +/-  1.01e+00
        MCStatBin55y18   -1.3290e-01 +/-  9.93e-01
        MCStatBin56y18   -1.3405e-01 +/-  9.98e-01
        MCStatBin57y18   -8.2350e-02 +/-  9.98e-01
         MCStatBin9y18    6.8576e-02 +/-  9.73e-01
                    Pu   -6.5479e-02 +/-  9.41e-01
             REFAC1718    3.0524e-01 +/-  8.76e-01
            RENORM1718   -2.7405e-02 +/-  1.10e+00
            alphaS1718   -1.1591e-11 +/-  1.00e+00
               db_xsec    8.2881e-02 +/-  1.00e+00
               dy_xsec    4.8117e-01 +/-  8.59e-01
       emucostrw1b1718    1.2005e+00 +/-  7.55e-01
       emucostrw2b1718    7.8948e-02 +/-  9.89e-01
       emucostrw3b1718   -6.5776e-03 +/-  9.96e-01
       emucostrw4b1718    6.5483e-02 +/-  9.97e-01
              gam_xsec    6.9370e-02 +/-  1.00e+00
                lumi18    5.5268e-01 +/-  9.42e-01
                lumiBC    7.4163e-02 +/-  1.00e+00
                lumiLS    7.4163e-02 +/-  1.00e+00
