
Attaching file multidimfit.mumu_d_vec_2018.root as _file0...
(TFile *) 0x2641a60

  RooFitResult: minimized FCN value: -1.07921e-07, estimated distance to minimum: 5.09845e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.1253e-02 +/-  7.44e-02
                    A4    1.7585e+00 +/-  9.37e-02
               FAC1718    3.4179e-01 +/-  1.14e+00
        MCStatBin10y18   -2.6380e-01 +/-  9.62e-01
        MCStatBin11y18    5.0794e-02 +/-  9.67e-01
        MCStatBin15y18   -7.8266e-02 +/-  9.60e-01
        MCStatBin16y18   -1.8049e-04 +/-  9.58e-01
        MCStatBin17y18    4.3514e-01 +/-  9.68e-01
         MCStatBin1y18    1.5078e-01 +/-  9.90e-01
        MCStatBin21y18    2.0624e-02 +/-  1.01e+00
        MCStatBin22y18   -1.3517e-01 +/-  9.93e-01
        MCStatBin23y18    2.1456e-01 +/-  9.91e-01
        MCStatBin24y18   -9.9696e-02 +/-  9.92e-01
        MCStatBin29y18    2.2343e-01 +/-  9.90e-01
         MCStatBin2y18    2.0768e-01 +/-  9.66e-01
        MCStatBin30y18    1.9136e-01 +/-  9.89e-01
        MCStatBin31y18   -9.5060e-02 +/-  9.93e-01
        MCStatBin35y18   -1.1370e-01 +/-  9.88e-01
        MCStatBin36y18   -3.8706e-01 +/-  1.00e+00
        MCStatBin37y18    2.2121e-01 +/-  9.89e-01
         MCStatBin3y18    1.2191e-01 +/-  9.55e-01
        MCStatBin41y18    2.7945e-03 +/-  9.97e-01
        MCStatBin42y18    5.8440e-02 +/-  9.96e-01
        MCStatBin43y18   -1.1664e-01 +/-  9.93e-01
        MCStatBin44y18   -8.7648e-02 +/-  1.01e+00
        MCStatBin49y18    3.3113e-02 +/-  9.95e-01
         MCStatBin4y18   -6.2583e-02 +/-  9.70e-01
        MCStatBin50y18   -2.1589e-02 +/-  1.01e+00
        MCStatBin51y18    5.8911e-02 +/-  9.96e-01
        MCStatBin55y18   -1.3997e-01 +/-  1.02e+00
        MCStatBin56y18   -1.4238e-01 +/-  9.97e-01
        MCStatBin57y18   -8.7932e-02 +/-  1.01e+00
         MCStatBin9y18    5.2808e-02 +/-  9.70e-01
                    Pu   -6.8079e-02 +/-  9.44e-01
             REFAC1718    5.1658e-01 +/-  9.29e-01
            RENORM1718    1.0924e-01 +/-  1.10e+00
            alphaS1718    3.9971e-13 +/-  1.00e+00
               db_xsec    1.0370e-01 +/-  1.00e+00
               dy_xsec    6.7531e-01 +/-  8.91e-01
       emucostrw1b1718    1.1849e+00 +/-  7.56e-01
       emucostrw2b1718    8.3419e-02 +/-  9.90e-01
       emucostrw3b1718   -4.1752e-03 +/-  9.97e-01
       emucostrw4b1718    6.2460e-02 +/-  9.97e-01
              gam_xsec    8.2205e-02 +/-  1.00e+00
                lumi18    6.5458e-01 +/-  9.52e-01
                lumiBC    8.7845e-02 +/-  9.99e-01
                lumiLS    8.7845e-02 +/-  9.99e-01
                lumiXY    8.7062e-01 +/-  9.15e-01
             muFakes18    1.1165e-01 +/-  1.02e+00
            muHLTBAR18    2.4865e-02 +/-  9.91e-01
            muHLTEND18   -6.3668e-03 +/-  9.88e-01
             muIDBAR18    2.4970e-01 +/-  9.92e-01
             muIDEND18    4.4490e-02 +/-  9.98e-01
               muIDSYS    4.4490e-02 +/-  9.97e-01
            muISOBAR18    6.7315e-02 +/-  1.00e+00
            muISOEND18    2.0223e-02 +/-  9.99e-01
              muISOSYS    2.0223e-02 +/-  1.00e+00
            muPref1718   -4.8437e-02 +/-  1.00e+00
                muRC18   -7.6674e-02 +/-  7.73e-01
         mufakesrw1b18    8.2092e-02 +/-  9.85e-01
