
Attaching file multidimfit.mumu_u_2018.root as _file0...
(TFile *) 0x279b210

  RooFitResult: minimized FCN value: -3.14652e-08, estimated distance to minimum: 3.03845e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.1409e-02 +/-  7.51e-02
                    A4    1.7367e+00 +/-  9.70e-02
               FAC1718    2.5520e-01 +/-  9.22e-01
        MCStatBin10y18   -2.4736e-01 +/-  9.65e-01
        MCStatBin11y18    5.9919e-02 +/-  9.69e-01
        MCStatBin15y18   -6.3512e-02 +/-  9.63e-01
        MCStatBin16y18    1.0318e-02 +/-  9.61e-01
        MCStatBin17y18    4.4572e-01 +/-  9.71e-01
         MCStatBin1y18    1.5389e-01 +/-  9.91e-01
        MCStatBin21y18    1.5781e-02 +/-  9.96e-01
        MCStatBin22y18   -1.3175e-01 +/-  9.95e-01
        MCStatBin23y18    1.8278e-01 +/-  1.01e+00
        MCStatBin24y18   -1.0085e-01 +/-  1.01e+00
        MCStatBin29y18    1.9862e-01 +/-  9.92e-01
         MCStatBin2y18    2.0002e-01 +/-  9.70e-01
        MCStatBin30y18    1.7184e-01 +/-  1.01e+00
        MCStatBin31y18   -9.1726e-02 +/-  1.01e+00
        MCStatBin35y18   -1.0692e-01 +/-  9.90e-01
        MCStatBin36y18   -3.6115e-01 +/-  1.01e+00
        MCStatBin37y18    2.0822e-01 +/-  9.90e-01
         MCStatBin3y18    1.1989e-01 +/-  9.61e-01
        MCStatBin41y18   -1.6323e-02 +/-  1.01e+00
        MCStatBin42y18    2.5356e-02 +/-  1.02e+00
        MCStatBin43y18   -1.1114e-01 +/-  9.99e-01
        MCStatBin44y18   -8.7634e-02 +/-  1.03e+00
        MCStatBin49y18    1.8421e-02 +/-  9.97e-01
         MCStatBin4y18   -5.7483e-02 +/-  9.73e-01
        MCStatBin50y18   -2.8344e-02 +/-  9.97e-01
        MCStatBin51y18    4.0069e-02 +/-  9.97e-01
        MCStatBin55y18   -1.2962e-01 +/-  1.01e+00
        MCStatBin56y18   -1.3150e-01 +/-  9.98e-01
        MCStatBin57y18   -8.0896e-02 +/-  9.99e-01
         MCStatBin9y18    6.6693e-02 +/-  9.74e-01
                    Pu   -6.7774e-02 +/-  9.41e-01
             REFAC1718    3.2161e-01 +/-  8.95e-01
            RENORM1718   -1.4580e-02 +/-  1.11e+00
            alphaS1718   -2.0992e-12 +/-  1.00e+00
               db_xsec    8.3922e-02 +/-  1.00e+00
               dy_xsec    4.9965e-01 +/-  8.57e-01
       emucostrw1b1718    1.1974e+00 +/-  7.56e-01
       emucostrw2b1718    7.7738e-02 +/-  9.90e-01
       emucostrw3b1718   -7.8388e-03 +/-  9.97e-01
       emucostrw4b1718    6.4557e-02 +/-  9.98e-01
              gam_xsec    7.0034e-02 +/-  1.00e+00
                lumi18    5.6267e-01 +/-  9.44e-01
                lumiBC    7.5503e-02 +/-  9.99e-01
                lumiLS    7.5503e-02 +/-  9.99e-01
                lumiXY    7.4839e-01 +/-  8.98e-01
