
Attaching file multidimfit.mumu_u_vec_2018.root as _file0...
(TFile *) 0x1747480

  RooFitResult: minimized FCN value: -4.29627e-05, estimated distance to minimum: 8.58393e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.0104e-02 +/-  7.68e-02
                    A4    1.7540e+00 +/-  1.02e-01
               FAC1718    3.1866e-01 +/-  1.07e+00
        MCStatBin10y18   -2.7063e-01 +/-  9.65e-01
        MCStatBin11y18    3.5789e-02 +/-  9.69e-01
        MCStatBin15y18   -8.6769e-02 +/-  9.63e-01
        MCStatBin16y18   -1.2062e-02 +/-  9.60e-01
        MCStatBin17y18    4.1869e-01 +/-  9.71e-01
         MCStatBin1y18    1.5018e-01 +/-  9.90e-01
        MCStatBin21y18    1.2632e-02 +/-  9.95e-01
        MCStatBin22y18   -1.3806e-01 +/-  9.94e-01
        MCStatBin23y18    1.7695e-01 +/-  9.92e-01
        MCStatBin24y18   -1.0657e-01 +/-  9.94e-01
        MCStatBin29y18    1.9439e-01 +/-  9.91e-01
         MCStatBin2y18    1.7791e-01 +/-  9.69e-01
        MCStatBin30y18    1.6769e-01 +/-  9.90e-01
        MCStatBin31y18   -9.5228e-02 +/-  9.93e-01
        MCStatBin35y18   -1.1504e-01 +/-  9.89e-01
        MCStatBin36y18   -3.7069e-01 +/-  9.92e-01
        MCStatBin37y18    2.0545e-01 +/-  9.89e-01
         MCStatBin3y18    8.8754e-02 +/-  9.61e-01
        MCStatBin41y18   -1.0743e-02 +/-  9.98e-01
        MCStatBin42y18    3.1052e-02 +/-  9.97e-01
        MCStatBin43y18   -1.0583e-01 +/-  9.98e-01
        MCStatBin44y18   -8.2952e-02 +/-  9.98e-01
         MCStatBin4y18   -7.8185e-02 +/-  9.72e-01
         MCStatBin9y18    4.6802e-02 +/-  9.73e-01
                    Pu   -1.1263e-01 +/-  9.66e-01
             REFAC1718    4.6928e-01 +/-  1.02e+00
            RENORM1718    6.7767e-02 +/-  1.10e+00
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec    9.0486e-02 +/-  1.00e+00
               dy_xsec    6.5229e-01 +/-  8.99e-01
       emucostrw1b1718    1.1497e+00 +/-  7.61e-01
       emucostrw2b1718    5.8136e-02 +/-  9.90e-01
       emucostrw3b1718   -1.5546e-02 +/-  9.96e-01
       emucostrw4b1718    4.5686e-02 +/-  9.97e-01
              gam_xsec    6.7473e-02 +/-  1.00e+00
                lumi18    6.0718e-01 +/-  9.53e-01
                lumiBC    8.1432e-02 +/-  9.99e-01
                lumiLS    8.1432e-02 +/-  9.99e-01
                lumiXY    8.0785e-01 +/-  9.13e-01
             muFakes18    1.7206e-01 +/-  1.04e+00
            muHLTBAR18    1.7430e-02 +/-  9.92e-01
            muHLTEND18    4.0402e-02 +/-  9.86e-01
             muIDBAR18    2.1129e-01 +/-  9.91e-01
             muIDEND18    6.8026e-02 +/-  9.96e-01
               muIDSYS    6.8026e-02 +/-  9.97e-01
            muISOBAR18    5.2193e-02 +/-  9.99e-01
            muISOEND18    3.6318e-02 +/-  9.99e-01
