
Attaching file multidimfit.mumu_u_vec_2018.root as _file0...
(TFile *) 0x3ba76d0

  RooFitResult: minimized FCN value: -1.6976e-07, estimated distance to minimum: 2.68806e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.3402e-02 +/-  7.41e-02
                    A4    1.7762e+00 +/-  9.46e-02
               FAC1718    3.9352e-01 +/-  1.29e+00
        MCStatBin10y18   -2.7137e-01 +/-  9.65e-01
        MCStatBin11y18    2.9651e-02 +/-  9.69e-01
        MCStatBin15y18   -7.2304e-02 +/-  9.63e-01
        MCStatBin16y18    4.6171e-03 +/-  9.59e-01
        MCStatBin17y18    4.2243e-01 +/-  9.71e-01
         MCStatBin1y18    1.3718e-01 +/-  9.90e-01
        MCStatBin21y18    1.5840e-02 +/-  9.96e-01
        MCStatBin22y18   -1.2726e-01 +/-  9.94e-01
        MCStatBin23y18    1.8464e-01 +/-  9.92e-01
        MCStatBin24y18   -9.8003e-02 +/-  9.94e-01
        MCStatBin29y18    2.0631e-01 +/-  9.92e-01
         MCStatBin2y18    1.7595e-01 +/-  9.71e-01
        MCStatBin30y18    1.7679e-01 +/-  9.91e-01
        MCStatBin31y18   -8.7242e-02 +/-  9.94e-01
        MCStatBin35y18   -9.6068e-02 +/-  9.89e-01
        MCStatBin36y18   -3.5606e-01 +/-  9.92e-01
        MCStatBin37y18    2.2248e-01 +/-  9.90e-01
         MCStatBin3y18    8.4193e-02 +/-  9.62e-01
        MCStatBin41y18    4.1733e-03 +/-  9.98e-01
        MCStatBin42y18    4.8801e-02 +/-  9.98e-01
        MCStatBin43y18   -8.8750e-02 +/-  9.98e-01
        MCStatBin44y18   -6.7706e-02 +/-  9.98e-01
        MCStatBin49y18    3.8437e-02 +/-  9.96e-01
         MCStatBin4y18   -7.9081e-02 +/-  9.73e-01
        MCStatBin50y18   -1.1072e-02 +/-  9.98e-01
        MCStatBin51y18    5.5885e-02 +/-  9.97e-01
        MCStatBin55y18   -1.1137e-01 +/-  9.97e-01
