"Sys name" Contri "%% Contri"
"$\alpha_s$ + Renormalization/Factorization Scales " 0.023780000000000003 0.004933167679121245
"$\ttbar$ Cross Section " 0.02254 0.00443210458861019
"LQ LO reweighting " 0.02122 0.003928194072881456
"Luminosity " 0.020390000000000002 0.0036269087433920552
"DY Cross Section " 0.018930000000000002 0.003126103875265938
"MC and MisID Backgrounds Statistical Uncertainty " 0.01624 0.002300775407751967
"$e\mu$ Shape Corrections " 0.012830000000000001 0.0014360034709389284
"Muon Identification/Isolation " 0.0097 0.0008208156823880347
"PDFs " 0.00801 0.0005597153391814704
"Diboson Cross Section " 0.00588 0.00030161770357271616
"Pileup " 0.00569 0.0002824403296265623
"$\PGg\PGg$ Cross Section " 0.00509 0.00022601524902622424
"Muon Trigger Prefire Correction " 0.00228 4.5349433981570396e-05
"Muon Trigger " 0.00162 2.2894554967150154e-05
"Muon MisID Shape " 0.0015 1.9628390746870847e-05
"Muon MisID Normalization " 0.00132 1.5200225794376784e-05
"Muon Momentum Scale " 0.0009 7.066220668873505e-06
"Statistical Uncertainty" 0.3341255308006257 97.39159990320843
"Background Cross Sections" 0.05244 0.00808584141647507
"Trigger & Prefire" 0.0039 6.824398894872055e-05
"MisID shape and normalization" 0.01906 0.0023356040242932144
