"Sys name" Contri "%% Contri"
"DY Cross Section " 0.05786 14.201747687428742
"LQ LO reweighting " 0.050339999999999996 10.750071588337862
"Luminosity " 0.048139999999999995 9.830986638131591
"$\alpha_s$ + Renormalization/Factorization Scales " 0.03965 6.6691627724625855
"MC and MisID Backgrounds Statistical Uncertainty " 0.03682 5.751120964330646
"$\ttbar$ Cross Section " 0.023190000000000002 2.281321173152931
"Muon Identification/Isolation " 0.019430000000000003 1.6015132464281008
"PDFs " 0.01469 0.9154371345506559
"$e\mu$ Shape Corrections " 0.00999 0.4233659346571552
"Diboson Cross Section " 0.00882 0.33000620375353606
"Pileup " 0.00815 0.28177350318050665
"Muon Momentum Scale " 0.0077 0.25151644402984297
"Muon MisID Normalization " 0.00716 0.21747582076330435
"Muon Trigger Prefire Correction " 0.00602 0.1537368281028693
"Muon Trigger " 0.00579 0.14221390489628705
"Muon MisID Shape " 0.005379999999999999 0.12278617916305254
"$\PGg\PGg$ Cross Section " 0.0018 0.013744531601563352
"Statistical Uncertainty" 0.10420271153116006 46.06201944502879
"Background Cross Sections" 0.09167 16.826819595936776
"Trigger & Prefire" 0.011810000000000001 0.2959507329991563
"MisID shape and normalization" 0.04936 6.091382964257003
"Total systematic uncertainty" 0.11275994989356815 53.93798055497123
