"Sys name" Contri "%% Contri"
"MC and MisID Backgrounds Statistical Uncertainty " 0.07239 46.43447446456228
"DY Cross Section " 0.07185 46.08809214364967
"Luminosity " 0.058789999999999995 37.710771567504025
"LQ LO reweighting " 0.05744 36.844815765222506
"$\alpha_s$ + Renormalization/Factorization Scales " 0.049510000000000005 31.75812723774663
"Muon Identification/Isolation " 0.02453 15.734737651826393
"$\ttbar$ Cross Section " 0.01975 12.66861266300739
"$e\mu$ Shape Corrections " 0.01785 11.44986005238896
"PDFs " 0.01375 8.819920208422866
"Muon MisID Shape " 0.010920000000000001 7.004620267343833
"Muon MisID Normalization " 0.01085 6.95971885537368
"Muon Momentum Scale " 0.01082 6.940475393100758
"Pileup " 0.00942 6.042447153697702
"$\PGg\PGg$ Cross Section " 0.00907 5.817940093846938
"Diboson Cross Section " 0.008490000000000001 5.445899823237101
"Muon Trigger " 0.007390000000000001 4.740306206563273
"Muon Trigger Prefire Correction " 0.006370000000000001 4.086028489283903
"Statistical Uncertainty" 0.050025332573785386 32.088686669134866
"Background Cross Sections" 0.07554356359081824 48.45732386406805
"Trigger & Prefire" 0.009756485022793814 6.258285048415579
"MisID shape and normalization" 0.07400865489927512 47.472758614131685
"Total systematic uncertainty" 0.1476528784006597 94.7117531663842
