"Sys name" Contri "%% Contri"
"$\ttbar$ Cross Section " 0.01316 0.0022002445742657665
"$\alpha_s$ + Renormalization/Factorization Scales " 0.01182 0.0017749827356180218
"LQ LO reweighting " 0.011290000000000001 0.0016193736340588893
"DY Cross Section " 0.00828 0.0008710034068672112
"$e\mu$ Shape Corrections " 0.00826 0.0008668007427590689
"Luminosity " 0.00805 0.000823286399237912
"MC and MisID Backgrounds Statistical Uncertainty " 0.00793 0.0007989241601394416
"Pileup " 0.0059700000000000005 0.00045280148492108334
"PDFs " 0.00471 0.0002818389384565991
"$\PGg\PGg$ Cross Section " 0.0029 0.00010684523926686222
"Muon Momentum Scale " 0.0024100000000000002 7.37892787379147e-05
"Muon MisID Normalization " 0.0021100000000000003 5.6561913167657257e-05
"Muon Identification/Isolation " 0.0019100000000000002 4.6347457475557695e-05
"Muon Trigger " 0.0017699999999999999 3.980207492261031e-05
"Muon MisID Shape " 0.0015199999999999999 2.9352585113217415e-05
"Muon Trigger Prefire Correction " 0.00124 1.9534511283796357e-05
"Diboson Cross Section " 0.0008300000000000001 8.752162346128587e-06
"Statistical Uncertainty" 0.27914033791759996 98.9929758701362
"Background Cross Sections" 0.02517 0.003186845382745969
"Trigger & Prefire" 0.0030099999999999997 5.933658620640666e-05
"MisID shape and normalization" 0.01156 0.0008848386584203163
