"Sys name" Contri "%% Contri"
"LQ LO reweighting " 0.05065 0.1298028983200464
"DY Cross Section " 0.04268 0.09216675812611222
"Luminosity " 0.030080000000000003 0.04578056563335172
"MC and MisID Backgrounds Statistical Uncertainty " 0.029289999999999997 0.04340744600963424
"$\ttbar$ Cross Section " 0.02818 0.0401797719915094
"$\alpha_s$ + Renormalization/Factorization Scales " 0.02696 0.03677606565763723
"$e\mu$ Shape Corrections " 0.015040000000000001 0.01144514140833793
"Muon Momentum Scale " 0.01379 0.00962174898537108
"Muon Identification/Isolation " 0.011290000000000001 0.006449311804100974
"PDFs " 0.0104 0.00547258063040151
"Diboson Cross Section " 0.00801 0.003246313983955473
"Pileup " 0.00489 0.001209882537834911
"Muon Trigger " 0.00335 0.0005678257777799644
"Muon MisID Shape " 0.00307 0.0004768724591667085
"$\PGg\PGg$ Cross Section " 0.00293 0.00043437090841285064
"Muon MisID Normalization " 0.00264 0.0003526414382548666
"Muon Trigger Prefire Correction " 0.00237 0.00028419876241588617
"Statistical Uncertainty" 0.10635522802210429 57.232560556567655
"Background Cross Sections" 0.08180000000000001 0.13602721500998996
"Trigger & Prefire" 0.00572 0.0008520245401958506
"MisID shape and normalization" 0.035 0.04423695990705581
