"Sys name" Contri "%% Contri"
"LQ LO reweighting " 0.05065 53.29210041696134
"DY Cross Section " 0.04268 44.906354309889636
"Luminosity " 0.030080000000000003 31.64908944801969
"MC and MisID Backgrounds Statistical Uncertainty " 0.029289999999999997 30.817879984457996
"$\ttbar$ Cross Section " 0.02818 29.649978079959933
"$\alpha_s$ + Renormalization/Factorization Scales " 0.02696 28.366338148889984
"$e\mu$ Shape Corrections " 0.015040000000000001 15.824544724009845
"Muon Momentum Scale " 0.01379 14.509339876602109
"Muon Identification/Isolation " 0.011290000000000001 11.878930181786647
"PDFs " 0.0104 10.942504330432339
"Diboson Cross Section " 0.00801 8.427832662188752
"Pileup " 0.00489 5.1450813630590515
"Muon Trigger " 0.00335 3.5247489910527245
"Muon MisID Shape " 0.00307 3.2301431052333918
"$\PGg\PGg$ Cross Section " 0.00293 3.0828401623237256
"Muon MisID Normalization " 0.00264 2.777712637725132
"Muon Trigger Prefire Correction " 0.00237 2.493628390685062
"Statistical Uncertainty" 0.02409304985853078 25.3498367702207
"Background Cross Sections" 0.051850166827118314 54.55487259994051
"Trigger & Prefire" 0.004103583799558625 4.317642643938678
"MisID shape and normalization" 0.029568540714752897 31.11095046305274
"Total systematic uncertainty" 0.09193775176716039 96.73358142715057
