"Sys name" Contri "%% Contri"
"Electron Momentum Scale " 0.02887 12.728898423594696
"LQ LO reweighting " 0.02765 12.190995545978295
"MC and MisID Backgrounds Statistical Uncertainty " 0.02395 10.559650753207238
"Luminosity " 0.01317 5.806705654268866
"Electron MisID Normalization " 0.01245 5.489254775675579
"$\alpha_s$ + Renormalization/Factorization Scales " 0.011359999999999999 5.008669417805187
"$e\mu$ Shape Corrections " 0.01034 4.558947339798031
"Electron Trigger Prefire Correction " 0.00999 4.404630940481851
"$\ttbar$ Cross Section " 0.00842 3.712411663549268
"Electron Identification/Isolation " 0.008 3.5272319843698505
"PDFs " 0.007540000000000001 3.3244161452685845
"Pileup " 0.0054399999999999995 2.3985177493714978
"Electron Reconstruction " 0.00413 1.8209335119309351
"Diboson Cross Section " 0.0034100000000000003 1.5034826333376488
"Electron Trigger " 0.0031100000000000004 1.3712114339237795
"DY Cross Section " 0.0030800000000000003 1.3579843139823926
"$\PGg\PGg$ Cross Section " 0.0008900000000000001 0.3924045582611459
"Electron MisID Shape " 0.0008300000000000001 0.36595031837837205
"Statistical Uncertainty" 0.21985180054818887 96.93353783935909
"Background Cross Sections" 0.009633431372050149 4.247418406840902
"Trigger & Prefire" 0.010462896348526063 4.613132831208455
"MisID shape and normalization" 0.027005442044151024 11.906807366271975
"Total systematic uncertainty" 0.05573584753101006 24.574158010917504
