"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Electron Momentum Scale " 72.67 4.44 4.76 5.48 1.86 0.67 20.54 4.94 11.8 47.7 8.78 11.76 11.65 0.19 17.36 14.973333333333334 19.161711359432964
"LQ LO reweighting " 18.03 81.79 19.0 12.66 46.78 29.15 16.42 73.74 20.11 21.04 39.71 13.08 13.35 38.64 2.42 29.728000000000005 22.05619858452494
"Electron Identification/Isolation " 2.49 0.88 50.36 31.64 16.07 2.95 4.18 2.93 4.45 1.63 8.23 26.3 5.59 0.35 20.82 11.924666666666667 14.026067572757363
"DY Cross Section " 1.89 0.19 1.54 0.96 1.09 2.08 1.54 1.78 1.33 0.47 1.76 10.01 6.18 0.01 0.03 2.0573333333333337 2.555353769811313
"MC and MisID Backgrounds Statistical Uncertainty " 0.99 1.34 6.13 6.12 14.23 34.94 15.3 0.9 7.06 1.42 4.86 14.4 35.61 19.0 0.51 10.854000000000001 11.198319993046576
"$e\mu$ Shape Corrections " 0.64 0.66 0.39 0.73 0.16 0.59 6.95 5.04 20.9 2.21 4.63 0.67 5.59 0.81 0.04 3.334000000000001 5.192047508770826
"$\alpha_s$ + Renormalization/Factorization Scales " 0.64 0.23 2.08 28.65 13.69 13.28 1.36 1.15 4.67 1.29 2.03 6.88 7.11 0.57 27.72 7.423333333333333 9.165782502813869
"$\ttbar$ Cross Section " 0.56 1.1 2.09 2.35 2.06 2.85 2.86 1.74 2.14 12.42 6.7 1.64 2.83 1.07 0.16 2.838 2.9413017526258676
"Electron MisID Normalization " 0.49 0.01 3.61 1.09 0.16 3.26 5.68 2.4 20.73 2.37 1.07 2.64 5.2 0.3 0.43 3.296 4.973000167571551
"Luminosity " 0.48 0.03 2.94 4.65 0.87 4.16 2.92 0.62 2.45 2.11 5.82 3.2 1.43 0.84 29.39 4.1273333333333335 6.942800075537888
"PDFs " 0.29 0.13 0.66 2.93 0.02 1.87 5.54 2.53 2.18 2.29 4.17 2.37 2.34 18.38 0.54 3.082666666666667 4.349426731063404
"Electron MisID Shape " 0.29 0.24 2.16 1.24 0.09 0.57 7.31 0.11 0.17 0.43 3.1 0.58 0.33 0.15 0.35 1.141333333333333 1.8439192558846553
"Electron Trigger Prefire Correction " 0.29 4.45 0.97 0.55 1.25 0.47 0.16 0.97 0.44 0.92 3.24 1.64 0.47 0.09 0.02 1.062 1.194957181938611
"Electron Reconstruction " 0.09 4.42 1.13 0.32 0.22 0.54 3.53 0.24 0.85 2.23 0.71 0.79 0.35 0.05 0.09 1.0373333333333334 1.2805752179738952
"Diboson Cross Section " 0.06 0.01 0.43 0.14 0.08 0.15 0.62 0.15 0.22 0.02 0.64 0.22 0.37 0.04 0.01 0.21066666666666667 0.20391065581659915
"Electron Trigger " 0.05 0.01 1.09 0.03 0.55 1.29 1.79 0.18 0.26 0.71 1.54 2.91 0.55 0.04 0.06 0.7373333333333334 0.814816680132545
"Pileup " 0.04 0.05 0.15 0.45 0.8 1.09 2.83 0.55 0.24 0.54 2.83 0.78 0.85 19.46 0.01 2.0446666666666666 4.733141122857937
"$\gamma\gamma$ Cross Section " 0.0 0.02 0.5 0.02 0.03 0.08 0.49 0.03 0.01 0.2 0.16 0.13 0.2 0.01 0.03 0.12733333333333333 0.1590583401005919
