"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 44.25 77.52 15.77 6.57 55.25 22.79 78.67 29.49 58.21 10.43 18.38 30.83 17.44 12.41 30.05 33.870666666666665 22.84466661802901
"Electron Momentum Scale " 15.67 6.41 14.48 11.87 2.83 6.96 3.9 6.54 8.35 11.89 41.7 5.73 15.78 21.6 16.0 12.647333333333332 9.333440570812508
"Electron Identification/Isolation " 13.72 7.14 18.3 40.84 16.79 17.74 11.31 9.24 5.2 0.96 7.92 8.97 20.46 22.26 9.93 14.051999999999998 9.21560791990053
"$\alpha_s$ + Renormalization/Factorization Scales " 6.0 0.14 5.83 7.59 12.18 3.19 0.44 9.84 4.79 3.63 9.13 5.75 9.66 12.3 6.49 6.463999999999999 3.6118412663534003
"MC and MisID Backgrounds Statistical Uncertainty " 4.27 0.77 5.99 7.17 4.51 12.96 0.63 17.32 9.99 25.75 4.12 19.31 7.12 18.91 13.61 10.162 7.266497735039442
"DY Cross Section " 3.35 0.77 4.88 1.89 0.25 1.23 0.22 0.47 1.14 9.37 3.31 3.61 11.99 1.3 0.58 2.9573333333333327 3.3539081018351644
"$\ttbar$ Cross Section " 2.82 2.34 1.33 6.25 1.57 4.39 0.56 7.41 0.88 2.19 4.5 3.24 2.08 1.86 9.97 3.4259999999999997 2.564643704948766
"PDFs " 2.37 1.53 7.21 1.67 0.59 13.92 0.18 5.57 2.22 1.63 2.43 1.89 0.5 0.66 1.02 2.8926666666666665 3.4754193352105807
"$e\mu$ Shape Corrections " 2.27 0.95 1.55 1.33 0.8 2.61 0.44 2.96 2.85 7.65 2.64 0.51 0.42 1.74 1.44 2.010666666666667 1.7348331972331583
"Electron Trigger Prefire Correction " 1.82 0.07 1.02 2.35 0.71 1.26 0.84 2.46 0.37 0.67 2.03 5.23 1.05 0.52 1.23 1.442 1.2243104181538276
"Electron MisID Shape " 1.33 0.45 3.1 1.04 0.45 1.58 0.56 1.58 0.19 1.33 0.39 2.17 3.44 3.02 1.05 1.4453333333333334 1.0184816585922836
"Luminosity " 0.62 0.55 6.42 4.89 1.6 6.89 0.14 1.75 1.93 6.48 0.76 8.47 0.76 0.32 3.34 2.994666666666667 2.760176000829577
"Electron Trigger " 0.55 0.07 3.23 1.45 1.0 0.51 0.12 0.72 0.7 0.21 0.23 0.37 0.53 0.39 1.29 0.7580000000000001 0.7676040646062267
"Electron Reconstruction " 0.45 0.12 3.28 1.14 0.09 1.7 0.56 1.72 1.1 8.09 1.58 0.85 0.89 0.1 2.23 1.5933333333333335 1.9324653223854296
"Pileup " 0.15 0.18 0.41 0.41 0.3 0.31 0.35 0.99 0.79 6.31 0.52 1.87 0.37 0.52 0.03 0.9006666666666665 1.5083654140234792
"$\gamma\gamma$ Cross Section " 0.13 0.05 1.26 0.35 0.13 0.19 0.13 0.27 0.03 0.58 0.03 0.35 0.42 0.43 0.38 0.3153333333333333 0.2996857613493767
"Electron MisID Normalization " 0.12 0.83 3.89 2.49 0.86 0.83 0.94 1.62 1.07 2.66 0.3 0.12 6.59 1.29 1.36 1.6646666666666665 1.646652631519134
"Diboson Cross Section " 0.1 0.11 2.05 0.69 0.09 0.94 0.02 0.04 0.18 0.16 0.04 0.74 0.51 0.38 0.02 0.40466666666666656 0.5260021123742966
