"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 34.63 45.56 20.63 4.0 55.05 22.1 73.17 33.41 21.04 8.88 1.32 13.82 11.61 23.7 25.51 26.29533333333333 18.965550476822152
"Electron Momentum Scale " 26.41 6.49 16.26 3.38 2.23 6.49 5.68 7.69 13.16 10.94 24.26 10.82 30.57 10.53 35.11 14.001333333333331 9.966473041597459
"MC and MisID Backgrounds Statistical Uncertainty " 10.55 6.2 5.56 7.34 4.65 15.34 2.76 5.25 3.24 25.81 5.14 1.51 12.12 2.38 2.28 7.3420000000000005 6.224607296850139
"$\alpha_s$ + Renormalization/Factorization Scales " 7.48 6.4 7.33 8.31 9.21 2.08 2.4 6.31 20.63 5.18 5.01 19.84 6.16 4.85 5.48 7.778000000000001 5.225681709914347
"DY Cross Section " 3.82 4.88 3.51 0.29 0.2 1.58 0.17 1.69 0.21 0.38 0.14 0.73 4.84 0.52 2.05 1.6673333333333331 1.6965041179502696
"Electron Identification/Isolation " 3.64 6.43 28.27 53.57 18.38 34.54 3.47 19.61 5.96 19.67 8.63 30.39 17.64 13.96 5.19 17.95666666666666 13.583764655728624
"Electron MisID Normalization " 3.52 4.64 1.94 3.44 0.17 1.77 0.36 3.59 0.94 6.05 16.63 0.64 1.29 16.49 2.18 4.243333333333333 5.088534388428776
"PDFs " 2.47 5.29 0.82 1.33 0.66 5.19 0.72 6.5 4.85 2.93 2.26 0.93 1.47 1.61 0.63 2.5106666666666664 1.9208417136476625
"Electron Reconstruction " 1.37 0.21 2.01 1.14 0.14 0.18 2.44 0.46 2.36 2.06 0.25 3.48 0.26 0.68 3.54 1.3719999999999999 1.1630374026659676
"Electron Trigger Prefire Correction " 1.11 5.3 1.03 2.3 1.38 0.63 0.5 0.86 4.71 1.94 0.29 1.38 1.02 1.44 0.4 1.6193333333333333 1.4338873347961787
"Electron Trigger " 1.11 0.26 3.15 0.5 1.36 1.63 0.13 1.82 2.71 1.31 15.27 4.7 1.29 0.7 0.78 2.4480000000000004 3.6194202113966636
"$\ttbar$ Cross Section " 0.76 0.96 3.4 5.17 1.13 4.73 3.06 5.31 11.79 6.5 2.31 0.34 5.2 5.12 5.78 4.104 2.8486717372604846
"Pileup " 0.6 0.2 0.64 0.41 1.68 0.68 0.06 2.2 0.83 0.47 0.16 0.36 0.2 0.22 0.03 0.5826666666666666 0.5869635612388747
"$\gamma\gamma$ Cross Section " 0.58 0.23 0.42 0.16 0.99 0.8 2.07 1.34 0.34 1.9 0.0 0.83 0.14 0.54 0.45 0.7193333333333333 0.6032408768937625
"Electron MisID Shape " 0.57 0.31 2.39 1.85 0.1 0.58 0.05 0.54 1.74 0.79 17.38 2.34 0.84 0.3 0.64 2.028 4.170541451658285
"Diboson Cross Section " 0.57 0.21 0.99 1.4 0.3 0.23 0.07 2.1 0.4 0.27 0.17 0.48 0.46 0.54 0.69 0.592 0.5216282200955006
"Luminosity " 0.56 5.71 0.74 3.5 2.13 1.11 0.4 0.79 3.25 0.99 0.6 2.77 3.75 0.22 7.66 2.2786666666666666 2.1094323617715003
"$e\mu$ Shape Corrections " 0.24 0.72 0.89 1.91 0.23 0.34 2.5 0.54 1.83 3.91 0.19 4.64 1.15 16.2 1.61 2.4599999999999995 3.894522649397056
