"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 34.08 61.78 24.49 3.8 54.62 9.13 43.25 59.49 35.84 20.71 20.86 25.35 16.14 21.59 25.46 30.43933333333333
"Electron Momentum Scale " 27.44 3.49 20.79 4.68 2.43 13.32 21.9 6.05 2.93 13.27 13.38 12.2 25.85 16.25 6.55 12.702
"$\alpha_s$ + Renormalization/Factorization Scales " 10.09 12.93 6.3 8.31 9.83 8.37 2.21 1.05 9.12 7.72 5.27 1.89 6.51 1.74 5.57 6.460666666666667
"MC and MisID Backgrounds Statistical Uncertainty " 9.48 2.96 9.86 4.9 3.06 16.06 1.69 11.97 9.92 20.84 9.89 7.25 15.83 6.23 16.39 9.755333333333333
"$e\mu$ Shape Corrections " 5.2 1.21 0.55 1.22 0.11 1.37 1.94 2.15 1.48 2.48 1.13 1.02 0.5 0.14 2.06 1.504
"Electron Trigger Prefire Correction " 3.76 0.21 1.29 2.25 0.93 0.94 2.55 0.46 1.86 2.26 1.18 3.79 1.56 0.17 1.42 1.6419999999999997
"PDFs " 2.22 0.29 1.57 2.21 0.75 0.69 1.52 0.84 0.31 3.25 0.15 4.18 5.44 0.72 7.4 2.1026666666666665
"DY Cross Section " 1.63 0.55 2.76 1.28 0.2 1.1 0.86 3.95 0.18 2.9 0.32 1.11 3.46 2.86 0.42 1.572
"Electron Identification/Isolation " 1.52 9.94 20.38 57.34 18.83 32.49 16.17 8.29 28.88 22.58 33.59 35.31 10.79 39.95 7.8 22.924000000000003
"Electron Trigger " 1.06 0.37 1.1 1.31 2.06 0.53 0.59 0.02 1.88 0.19 0.53 1.34 0.37 0.64 1.12 0.874
"$\ttbar$ Cross Section " 0.91 2.44 3.04 5.91 1.46 1.48 3.34 2.25 1.61 0.19 5.61 2.13 0.45 3.48 12.8 3.1399999999999997
"Electron MisID Shape " 0.77 0.56 1.8 0.66 0.14 3.15 0.97 0.97 1.06 0.49 2.72 0.73 0.56 0.66 2.46 1.1800000000000002
"Diboson Cross Section " 0.59 0.26 0.85 0.22 0.02 0.75 0.66 0.88 0.69 0.09 0.46 0.43 1.19 0.84 0.33 0.5506666666666666
"Electron Reconstruction " 0.55 0.44 1.68 2.59 0.54 1.26 0.06 0.21 0.57 0.84 1.47 0.38 1.07 1.08 0.8 0.9026666666666668
"Luminosity " 0.39 1.45 0.1 1.59 1.93 2.95 0.1 0.28 1.23 0.6 0.73 0.75 1.2 1.81 1.92 1.1353333333333333
"Electron MisID Normalization " 0.18 0.6 1.18 1.58 1.16 4.56 0.81 0.6 1.95 0.75 1.6 1.52 8.27 0.42 6.95 2.1420000000000003
"Pileup " 0.1 0.35 1.12 0.04 1.72 1.39 1.3 0.5 0.09 0.58 0.7 0.4 0.27 0.99 0.15 0.6466666666666666
"$\gamma\gamma$ Cross Section " 0.03 0.17 1.13 0.12 0.23 0.45 0.08 0.05 0.39 0.26 0.42 0.23 0.55 0.42 0.41 0.32933333333333337
