"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"Electron Momentum Scale " 76.49 2.85 3.88 8.23 1.43 6.66 0.41 4.98 30.9 4.41 26.08 19.79 4.61 74.69 11.12 18.435333333333332
"LQ LO reweighting " 13.09 45.04 25.49 14.24 53.7 63.38 31.66 48.36 13.76 28.79 16.04 22.08 1.92 17.17 37.37 28.806
"Electron Identification/Isolation " 2.08 0.8 49.6 37.73 21.91 4.23 3.47 9.17 5.74 3.53 7.84 18.2 6.71 1.11 10.75 12.191333333333336
"DY Cross Section " 2.06 0.11 0.71 1.44 1.23 6.39 37.74 6.17 0.17 1.56 3.54 0.53 0.67 0.99 3.06 4.424666666666668
"MC and MisID Backgrounds Statistical Uncertainty " 1.83 24.67 3.27 11.65 11.37 2.72 5.66 15.69 1.18 19.27 11.6 14.99 6.9 1.29 16.89 9.931999999999997
"$\alpha_s$ + Renormalization/Factorization Scales " 1.3 25.11 2.3 7.57 4.58 3.84 11.2 3.31 28.88 18.41 3.29 2.19 1.49 1.02 5.72 8.014
"$\ttbar$ Cross Section " 0.74 0.51 2.04 3.86 1.56 1.55 2.66 1.35 2.14 1.01 6.89 1.45 66.0 0.49 4.49 6.449333333333333
"Luminosity " 0.66 0.01 2.59 7.15 0.74 0.31 0.85 3.32 2.15 4.06 5.81 3.17 2.08 0.39 0.89 2.2786666666666666
"PDFs " 0.51 0.17 1.72 1.01 0.19 1.45 0.08 2.6 0.71 3.07 7.77 2.63 2.02 0.54 1.27 1.716
"Electron Trigger Prefire Correction " 0.5 0.04 0.84 0.42 0.92 2.92 0.18 0.2 1.61 1.29 0.4 1.74 0.8 0.0 2.64 0.9666666666666668
"$e\mu$ Shape Corrections " 0.23 0.38 0.6 0.79 0.24 2.96 1.17 0.48 5.66 6.45 5.31 6.9 4.64 1.18 1.14 2.5420000000000003
"Electron MisID Normalization " 0.22 0.05 1.11 2.04 0.14 0.09 1.46 0.24 0.22 3.29 1.05 1.3 1.36 0.17 0.4 0.876
"Electron Trigger " 0.1 0.01 1.35 0.18 0.62 0.31 0.65 2.35 0.64 0.42 0.65 0.54 0.07 0.24 0.81 0.5960000000000001
"Electron Reconstruction " 0.07 0.04 0.88 0.47 0.24 0.69 1.53 0.26 0.65 1.91 0.61 2.3 0.12 0.07 1.02 0.724
"Pileup " 0.04 0.03 0.69 0.49 0.72 0.17 0.37 0.45 0.1 0.68 0.61 0.29 0.1 0.12 0.2 0.3373333333333334
"Electron MisID Shape " 0.04 0.13 2.2 2.42 0.3 1.45 0.86 0.24 5.0 1.29 2.29 1.09 0.44 0.4 1.04 1.2793333333333332
"Diboson Cross Section " 0.03 0.04 0.35 0.25 0.1 0.77 0.04 0.39 0.31 0.13 0.15 0.44 0.05 0.09 0.72 0.2573333333333333
"$\PGg\PGg$ Cross Section " 0.01 0.02 0.38 0.06 0.01 0.11 0.03 0.44 0.17 0.43 0.07 0.37 0.02 0.05 0.46 0.1753333333333333
