"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Electron Momentum Scale " 76.82 5.4 3.96 7.89 0.05 22.27 7.7 10.73 1.43 3.59 9.29 0.78 18.75 19.39 21.52 13.971333333333336 18.33630746785065
"LQ LO reweighting " 13.05 88.49 26.05 14.17 34.92 20.95 48.49 4.9 86.22 59.07 32.88 34.44 10.69 14.83 8.83 33.19866666666666 25.799271531490096
"DY Cross Section " 2.01 0.24 0.98 1.5 10.17 4.01 1.56 0.92 1.74 0.26 4.38 0.1 3.87 2.57 5.66 2.6646666666666667 2.575491840837828
"Electron Identification/Isolation " 1.84 1.67 48.72 40.99 0.4 4.77 21.8 32.49 3.47 18.5 12.15 0.41 25.69 12.63 17.83 16.224 14.843532284017396
"MC and MisID Backgrounds Statistical Uncertainty " 1.8 1.28 3.35 10.95 6.55 21.42 8.12 4.89 1.58 5.98 17.58 1.3 10.05 17.79 2.74 7.691999999999998 6.3982458012593835
"$\alpha_s$ + Renormalization/Factorization Scales " 1.32 0.29 2.18 6.95 9.22 3.08 2.8 3.37 0.55 1.0 0.91 30.36 3.92 7.94 5.09 5.265333333333333 7.215240228540942
"$\ttbar$ Cross Section " 0.77 1.03 2.18 3.27 9.31 3.71 0.15 1.4 0.59 2.39 1.61 0.68 3.36 2.98 8.42 2.79 2.6196870042048914
"Luminosity " 0.65 0.01 2.42 6.55 9.57 7.03 2.25 0.98 0.74 3.58 4.03 0.23 7.58 3.32 4.32 3.5506666666666664 2.8740296140127404
"Electron Trigger Prefire Correction " 0.54 0.01 0.92 0.96 9.42 3.24 2.02 17.71 0.8 0.59 0.73 0.02 0.15 2.01 0.57 2.646 4.618133533510409
"PDFs " 0.53 0.3 1.55 0.79 0.1 0.69 0.57 1.69 0.79 0.52 6.11 0.07 4.53 9.78 4.96 2.198666666666667 2.751423550737973
"$e\mu$ Shape Corrections " 0.32 0.72 0.62 1.18 0.07 2.28 0.52 1.33 0.84 1.24 3.38 0.01 3.68 1.77 10.81 1.9180000000000001 2.6033112248314323
"Electron MisID Normalization " 0.11 0.01 1.2 1.54 0.08 0.71 0.83 0.18 0.36 1.49 4.65 0.18 0.55 0.85 1.88 0.9746666666666667 1.1363677026189876
"Electron Reconstruction " 0.07 0.04 0.93 0.36 0.02 2.95 0.3 0.54 0.17 0.83 0.07 31.31 2.73 1.01 1.46 2.852666666666666 7.657951394175569
"Pileup " 0.06 0.04 0.52 0.43 0.09 0.19 1.58 16.85 0.08 0.01 0.05 0.02 0.17 0.04 1.72 1.4566666666666668 4.14804157270499
"Electron Trigger " 0.05 0.02 1.51 0.11 9.94 0.82 0.39 0.95 0.26 0.21 0.27 0.03 1.1 0.53 0.51 1.1133333333333333 2.396796936654325
"Electron MisID Shape " 0.02 0.36 2.16 2.16 0.06 1.11 0.55 1.0 0.29 0.59 1.09 0.01 3.14 0.97 2.56 1.0713333333333332 0.9576907410827128
"$\gamma\gamma$ Cross Section " 0.01 0.03 0.28 0.02 0.01 0.22 0.26 0.03 0.02 0.05 0.25 0.02 0.04 0.26 0.1 0.10666666666666669 0.10681240044530826
"Diboson Cross Section " 0.01 0.06 0.46 0.19 0.02 0.56 0.12 0.04 0.08 0.08 0.56 0.03 0.0 1.32 1.01 0.3026666666666667 0.3913304940271785
