"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 62.54 8.49 20.48 53.77 45.5 1.19 10.55 17.82 16.85 81.15 85.49 10.42 33.6 29.85 22.7 33.36000000000001 25.72001296007968
"DY Cross Section " 13.29 15.42 20.65 8.6 2.77 93.61 13.32 66.29 1.19 2.11 5.1 18.76 22.13 12.03 12.78 20.536666666666665 24.647320791968895
"$\ttbar$ Cross Section " 6.08 3.66 7.44 4.97 7.03 1.16 4.57 0.48 16.86 1.12 1.73 11.28 2.88 4.45 23.34 6.469999999999999 6.1263507354160955
"$\alpha_s$ + Renormalization/Factorization Scales " 3.42 22.37 5.61 1.27 22.09 0.47 19.18 4.94 5.53 5.61 0.42 2.87 8.41 21.93 4.98 8.606666666666666 8.00609073698824
"MC and MisID Backgrounds Statistical Uncertainty " 3.3 14.95 11.32 6.17 0.75 0.5 5.19 0.72 0.95 0.14 0.98 12.35 1.46 4.82 1.42 4.334666666666666 4.681995111298411
"Luminosity " 3.2 8.07 7.47 10.12 8.03 1.88 10.84 3.06 1.62 5.09 2.06 14.74 2.45 9.57 2.68 6.058666666666666 3.9384140067911715
"$e\mu$ Shape Corrections " 2.28 1.17 2.69 0.43 1.78 0.31 3.81 1.68 0.81 1.02 0.04 2.5 3.79 0.4 2.38 1.6726666666666665 1.1764549384580023
"Muon Identification/Isolation " 1.89 7.41 1.16 0.2 3.5 0.04 6.74 0.61 1.16 0.66 0.3 5.78 1.61 1.51 0.25 2.188 2.3989058617072354
"PDFs " 1.59 12.18 5.27 1.97 4.37 0.2 7.54 0.98 0.46 1.44 2.31 7.92 6.89 6.0 6.94 4.404 3.3718279908678612
"Muon Momentum Scale " 0.67 0.73 5.51 3.35 1.12 0.13 9.4 0.88 0.27 0.44 0.19 5.64 11.01 3.06 17.0 3.9600000000000004 4.826606813625213
"Muon Trigger " 0.55 0.49 0.97 1.68 0.57 0.1 1.52 0.25 0.12 0.07 0.36 0.63 1.01 0.3 0.19 0.5873333333333334 0.4852005312811967
"Diboson Cross Section " 0.4 2.35 3.0 0.06 0.31 0.02 2.0 1.07 17.85 0.29 0.27 1.56 1.7 2.51 2.31 2.3800000000000003 4.248143123765959
"Muon MisID Normalization " 0.37 0.5 0.3 0.31 0.13 0.04 0.31 0.14 0.08 0.12 0.17 0.76 0.46 1.04 0.61 0.35600000000000004 0.2706486036665748
"$\gamma\gamma$ Cross Section " 0.12 1.49 3.08 1.53 0.98 0.04 1.07 0.38 0.25 0.19 0.11 1.34 1.67 0.85 0.62 0.9146666666666665 0.7985809636821778
"Muon Trigger Prefire Correction " 0.11 0.08 0.93 1.52 0.31 0.06 0.82 0.04 17.77 0.03 0.09 0.83 0.53 0.39 0.7 1.614 4.338097586116138
"Muon MisID Shape " 0.11 0.38 1.02 0.62 0.3 0.03 2.4 0.09 17.78 0.12 0.05 0.18 0.15 0.37 0.68 1.6186666666666667 4.358429176766429
"Pileup " 0.1 0.26 3.1 3.43 0.48 0.2 0.75 0.57 0.44 0.42 0.34 2.45 0.23 0.92 0.4 0.9393333333333334 1.0621516945437797
