"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"$\alpha_s$ + Renormalization/Factorization Scales " 48.98 43.22 7.75 20.68 6.97 14.5 24.7 6.46 18.95 8.54 12.5 47.47 21.37 18.62 24.31 21.668 13.805542944774029
"LQ LO reweighting " 19.56 3.21 17.52 15.5 76.97 5.72 7.12 51.12 38.96 8.03 30.37 12.38 15.65 26.19 5.29 22.23933333333333 19.594409905775564
"DY Cross Section " 13.36 8.02 36.63 19.0 0.67 4.61 5.09 7.66 1.02 15.43 5.12 3.8 10.22 4.72 2.39 9.182666666666668 8.941475244922147
"$\ttbar$ Cross Section " 6.78 6.41 6.69 1.69 3.52 7.28 13.8 11.42 16.2 10.52 7.14 10.81 10.98 6.93 26.3 9.764666666666669 5.726572991084828
"MC and MisID Backgrounds Statistical Uncertainty " 2.65 14.04 5.27 19.03 2.5 31.44 35.61 2.99 8.06 9.9 8.67 2.48 13.83 8.17 31.18 13.054666666666664 10.905448098185705
"Luminosity " 2.57 0.79 8.21 19.58 2.9 15.41 4.36 1.18 7.0 28.62 19.1 8.82 1.61 24.5 1.57 9.747999999999998 8.999817924084168
"$e\mu$ Shape Corrections " 1.45 2.69 3.79 0.66 0.84 7.96 1.22 3.97 1.61 4.27 0.76 1.58 3.68 0.84 2.27 2.5060000000000002 1.9070773450492247
"Muon Trigger " 1.29 0.1 0.78 0.17 0.23 1.65 0.19 0.55 0.09 0.6 0.12 1.61 0.7 0.25 0.59 0.5946666666666667 0.5161507101182323
"PDFs " 0.99 7.81 1.82 0.51 1.71 2.53 0.27 5.55 0.45 1.2 6.07 3.7 3.25 4.48 1.05 2.759333333333333 2.2428121237014533
"Pileup " 0.63 0.24 0.64 0.14 0.98 0.29 0.25 0.63 1.17 0.75 1.1 0.3 2.57 0.04 0.02 0.6499999999999999 0.6265460876902831
"Muon Momentum Scale " 0.54 4.21 1.8 0.69 0.05 4.44 0.93 3.65 3.03 1.17 1.41 3.82 9.51 2.39 2.66 2.6866666666666665 2.2762649718831556
"Muon MisID Shape " 0.42 0.16 1.18 0.03 0.11 0.27 0.65 0.39 0.16 0.39 0.02 0.4 0.6 0.44 0.26 0.36533333333333334 0.2842737334956495
"Muon Identification/Isolation " 0.35 6.34 2.04 1.78 1.63 1.96 1.88 0.97 2.28 8.21 5.27 1.69 4.59 1.51 0.86 2.757333333333333 2.189336175394014
"Diboson Cross Section " 0.18 1.64 1.26 0.02 0.36 0.43 2.05 1.13 0.33 0.62 0.54 0.52 1.0 0.12 0.47 0.7113333333333333 0.5659548470407236
"Muon MisID Normalization " 0.14 0.06 1.54 0.05 0.14 0.42 0.22 1.26 0.18 1.08 0.97 0.31 0.06 0.27 0.16 0.4573333333333333 0.47818360025784606
"Muon Trigger Prefire Correction " 0.07 0.24 0.72 0.32 0.2 0.15 0.08 0.45 0.04 0.65 0.2 0.11 0.11 0.45 0.19 0.2653333333333333 0.20421774871173387
"$\gamma\gamma$ Cross Section " 0.05 0.81 2.35 0.14 0.23 0.95 1.56 0.61 0.47 0.01 0.65 0.21 0.27 0.08 0.43 0.588 0.6179234040990302
