"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 77.62 13.62 37.91 40.52 49.7 46.38 52.3 16.11 22.34 37.76 23.79 14.63 19.2 39.19 21.51 34.172000000000004
"DY Cross Section " 10.34 10.4 11.33 2.03 1.72 7.34 6.26 27.0 11.1 14.97 10.48 18.59 0.4 3.8 22.33 10.539333333333332
"$\ttbar$ Cross Section " 2.69 3.83 5.35 2.03 6.75 14.83 6.26 0.77 6.03 10.54 16.03 4.69 20.32 6.31 11.39 7.854666666666668
"Luminosity " 2.64 5.2 4.71 11.83 7.9 0.36 2.26 14.96 2.44 4.43 16.77 12.18 0.36 8.19 5.22 6.63
"MC and MisID Backgrounds Statistical Uncertainty " 1.95 15.28 6.48 5.67 2.45 0.31 5.67 8.73 7.08 4.71 5.9 6.83 32.23 12.35 7.22 8.190666666666665
"$\alpha_s$ + Renormalization/Factorization Scales " 1.59 27.47 4.76 26.01 17.82 8.23 17.85 14.83 29.63 13.69 10.27 9.45 0.48 17.87 7.36 13.82066666666667
"$e\mu$ Shape Corrections " 1.37 2.38 5.95 1.24 2.72 0.92 1.95 4.54 1.29 2.62 1.38 1.58 0.02 0.54 2.82 2.0879999999999996
"Muon Trigger " 0.56 0.48 2.08 0.29 0.08 1.39 0.11 1.48 0.5 0.21 0.81 0.9 0.01 0.22 0.3 0.6280000000000001
"Muon Identification/Isolation " 0.5 6.56 0.56 2.94 4.23 4.75 2.65 4.47 4.45 1.85 2.58 1.37 26.46 1.38 2.56 4.487333333333333
"Muon Momentum Scale " 0.29 2.15 7.63 2.42 0.07 3.65 1.63 2.15 6.36 1.73 8.72 13.51 0.01 1.78 6.94 3.9359999999999995
"Muon Trigger Prefire Correction " 0.12 0.28 0.79 0.42 0.1 0.03 0.09 0.34 0.37 0.03 0.15 0.85 0.01 0.23 0.6 0.29399999999999993
"Pileup " 0.11 0.49 3.32 1.52 0.8 0.6 1.19 0.5 0.23 0.08 0.36 4.87 0.01 0.87 2.39 1.156
"Diboson Cross Section " 0.1 2.08 1.5 0.18 0.88 2.44 0.15 0.5 0.21 0.38 0.45 0.88 0.03 1.3 0.09 0.7446666666666668
"PDFs " 0.05 8.04 4.21 1.78 3.88 7.25 0.67 1.45 5.57 6.17 0.6 8.6 0.4 4.96 7.71 4.089333333333334
"Muon MisID Shape " 0.04 0.29 0.81 0.2 0.32 0.52 0.31 0.35 0.79 0.21 0.13 0.73 0.02 0.2 0.31 0.3486666666666666
"$\PGg\PGg$ Cross Section " 0.02 1.37 2.18 0.86 0.49 0.76 0.08 1.23 0.71 0.48 0.98 0.14 0.03 0.6 1.01 0.7293333333333333
"Muon MisID Normalization " 0.0 0.1 0.41 0.08 0.1 0.23 0.55 0.57 0.9 0.13 0.61 0.17 0.01 0.21 0.23 0.2866666666666667
