"Sys name" Contri "%% Contri"
"$\ttbar$ Cross Section " 0.06548 25.93458824378583
"LQ LO reweighting " 0.06396 25.33256359304431
"DY Cross Section " 0.05931 23.49084344439428
"Luminosity " 0.058960000000000005 23.352219347184064
"$\alpha_s$ + Renormalization/Factorization Scales " 0.056389999999999996 22.33432240481189
"MC and MisID Backgrounds Statistical Uncertainty " 0.040619999999999996 16.088316653368665
"$e\mu$ Shape Corrections " 0.04042 16.009102883534258
"Muon Identification/Isolation " 0.026080000000000002 10.329475586407062
"Pileup " 0.02229 8.828374648044992
"PDFs " 0.02072 8.206546554844873
"Diboson Cross Section " 0.01456 5.766762443945046
"$\PGg\PGg$ Cross Section " 0.00834 3.3032142020948965
"Muon Momentum Scale " 0.00773 3.0616122040999456
"Muon MisID Normalization " 0.00745 2.9507129263317715
"Muon MisID Shape " 0.00603 2.388295160507461
"Muon Trigger Prefire Correction " 0.00282 1.1169141546651808
"Muon Trigger " 0.0019 0.7525308134268948
"Statistical Uncertainty" 0.19964898093779326 79.0747421184043
"Background Cross Sections" 0.08992694646211445 35.617262194806216
"Trigger & Prefire" 0.0034003529228596257 1.3467738689358282
"MisID shape and normalization" 0.04173545015930701 16.530111714274174
"Total systematic uncertainty" 0.15455458388543514 61.21425617376934
