"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" Mean
"$\alpha_s$ + Renormalization/Factorization Scales " 49.93 43.74 7.52 20.39 6.62 70.35 6.39 3.26 6.48 38.42 25.309999999999995
"LQ LO reweighting " 18.55 2.88 18.79 15.43 77.89 22.94 1.26 51.43 39.6 12.45 26.121999999999996
"DY Cross Section " 12.74 3.55 32.02 18.89 0.51 0.77 28.75 5.56 13.65 4.67 12.111
"$\ttbar$ Cross Section " 7.26 7.29 6.58 1.78 3.83 0.9 4.9 12.43 12.35 19.42 7.674000000000001
"MC and MisID Backgrounds Statistical Uncertainty " 3.11 13.66 9.62 19.33 2.58 1.15 28.94 7.95 13.47 6.9 10.671000000000001
"Luminosity " 2.36 1.31 7.06 19.42 2.55 1.13 24.15 6.25 2.14 4.72 7.109
"$e\mu$ Shape Corrections " 1.97 3.35 4.1 0.82 1.13 0.66 1.39 2.12 4.67 1.38 2.159
"Muon Trigger " 1.18 0.11 0.51 0.08 0.04 0.14 0.2 0.77 0.28 0.63 0.394
"PDFs " 0.74 8.23 1.24 0.54 1.44 0.98 0.53 4.37 1.87 0.9 2.084
"Pileup " 0.63 0.16 1.04 0.22 0.76 0.06 0.28 0.25 1.31 1.83 0.6540000000000001
"Muon Momentum Scale " 0.4 4.94 2.86 0.63 0.19 0.66 0.68 3.29 1.48 2.9 1.8030000000000002
"Muon MisID Shape " 0.39 0.37 1.25 0.02 0.08 0.01 0.41 0.12 0.32 0.31 0.32799999999999996
"Muon Identification/Isolation " 0.34 7.0 2.26 1.78 1.85 0.04 0.5 0.64 0.79 1.81 1.7009999999999998
"Diboson Cross Section " 0.17 1.91 0.64 0.01 0.11 0.08 0.22 0.4 0.25 2.0 0.579
"Muon MisID Normalization " 0.13 0.05 1.53 0.1 0.02 0.08 0.84 0.97 0.52 0.11 0.43500000000000005
"Muon Trigger Prefire Correction " 0.07 0.28 0.78 0.39 0.02 0.05 0.11 0.09 0.13 0.4 0.23200000000000004
"$\gamma\gamma$ Cross Section " 0.03 1.16 2.22 0.17 0.37 0.02 0.45 0.1 0.68 1.14 0.6339999999999999
