"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"$\alpha_s$ + Renormalization/Factorization Scales " 55.96 43.95 36.87 20.28 6.29 13.97 3.93 35.09 3.87 10.12 14.77 2.35 13.3 11.46 14.95 19.144
"LQ LO reweighting " 20.81 2.88 13.44 15.39 78.03 6.93 55.6 16.84 25.56 25.74 17.3 42.31 14.06 51.86 11.98 26.582000000000004
"$\ttbar$ Cross Section " 8.37 7.42 4.63 1.82 3.76 15.88 6.03 16.61 4.02 16.28 7.44 6.75 11.33 7.42 8.84 8.440000000000001
"MC and MisID Backgrounds Statistical Uncertainty " 3.54 13.31 7.12 19.35 2.48 11.78 8.23 5.29 4.53 9.45 0.33 20.89 14.9 8.59 8.91 9.246666666666668
"Luminosity " 2.61 1.49 4.43 19.53 2.76 6.3 7.61 0.57 0.37 1.39 13.19 3.38 9.22 2.53 1.35 5.115333333333333
"$e\mu$ Shape Corrections " 2.41 3.51 2.9 0.87 1.15 10.85 0.86 7.92 3.12 6.19 1.34 5.22 2.13 4.02 3.19 3.7119999999999993
"DY Cross Section " 1.7 2.69 20.93 18.76 0.43 0.57 7.76 2.44 44.77 6.49 0.19 10.82 17.59 9.78 7.98 10.193333333333332
"Muon Trigger " 1.3 0.16 0.86 0.07 0.07 4.14 0.38 0.59 0.83 0.43 0.1 0.57 0.96 0.26 0.18 0.7266666666666665
"PDFs " 0.93 8.22 1.29 0.57 1.49 11.68 3.83 2.31 2.75 3.24 0.47 1.7 4.22 0.64 5.82 3.277333333333333
"Pileup " 0.72 0.19 0.33 0.22 0.83 1.71 0.45 2.19 0.37 2.76 0.42 0.74 1.71 1.39 1.71 1.0493333333333335
"Muon MisID Shape " 0.49 0.37 1.01 0.03 0.02 0.43 0.79 0.19 0.44 0.89 0.26 0.53 0.4 0.04 1.1 0.466
"Muon Momentum Scale " 0.41 5.11 1.76 0.59 0.19 4.15 1.51 6.26 3.26 9.74 16.22 1.01 2.51 0.52 25.42 5.244
"Muon Identification/Isolation " 0.31 7.22 0.99 1.81 1.9 5.09 0.75 2.16 4.62 5.1 13.97 0.69 5.45 0.72 6.0 3.7853333333333334
"Diboson Cross Section " 0.19 1.97 0.86 0.04 0.17 1.38 1.82 0.11 0.27 0.61 13.75 0.89 0.02 0.24 1.48 1.5866666666666667
"Muon MisID Normalization " 0.13 0.12 0.99 0.13 0.11 0.11 0.08 0.55 0.77 0.35 0.14 1.66 1.39 0.08 0.15 0.4506666666666667
"Muon Trigger Prefire Correction " 0.1 0.21 0.45 0.39 0.06 0.22 0.04 0.26 0.4 0.13 0.03 0.27 0.2 0.33 0.05 0.20933333333333332
"$\PGg\PGg$ Cross Section " 0.01 1.18 1.15 0.16 0.25 4.8 0.32 0.62 0.05 1.09 0.05 0.25 0.61 0.1 0.88 0.7680000000000001
