"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 61.95 0.31 3.6 10.55 77.63 72.52 24.02 20.67 13.69 84.2 11.15 26.16 36.72 11.31 39.06 32.90266666666666
"DY Cross Section " 18.57 3.71 15.06 17.3 0.42 1.76 22.38 9.33 0.2 1.52 0.26 19.74 3.26 60.1 10.6 12.280666666666667
"$\ttbar$ Cross Section " 4.89 4.32 8.08 0.31 3.75 4.46 19.78 8.94 9.09 0.15 2.48 5.62 23.37 5.67 9.71 7.374666666666667
"$\alpha_s$ + Renormalization/Factorization Scales " 4.45 16.22 24.08 19.36 6.52 2.77 6.97 21.18 65.22 0.87 0.76 4.4 2.31 4.95 3.73 12.252666666666665
"MC and MisID Backgrounds Statistical Uncertainty " 3.0 15.57 0.42 17.76 3.13 4.72 1.98 11.57 1.91 4.08 81.88 21.06 8.43 5.07 18.54 13.274666666666665
"Luminosity " 2.57 2.17 1.16 17.35 3.8 1.81 6.54 15.97 1.61 5.21 0.52 4.22 1.08 0.42 2.59 4.468000000000001
"Muon Identification/Isolation " 1.57 2.94 1.5 0.19 0.44 0.29 2.91 3.56 0.7 0.69 0.35 1.11 0.21 0.86 0.89 1.214
"Muon MisID Shape " 0.65 0.14 2.46 0.14 0.07 0.43 0.43 0.21 0.26 0.08 0.08 0.93 0.16 0.38 0.85 0.48466666666666663
"Muon Momentum Scale " 0.57 47.39 2.41 16.35 0.68 2.46 1.41 4.24 1.27 0.37 1.08 2.88 3.88 6.5 0.66 6.143333333333332
"$e\mu$ Shape Corrections " 0.55 0.69 5.79 0.02 0.27 4.22 0.73 1.25 0.88 0.27 0.33 5.49 3.43 1.55 2.14 1.840666666666667
"Muon Trigger " 0.42 0.66 2.96 0.11 0.09 0.63 1.6 0.8 0.66 0.16 0.22 1.46 0.07 0.19 1.77 0.7866666666666666
"Pileup " 0.23 0.62 0.3 0.17 0.71 0.93 1.15 0.39 0.9 0.13 0.24 2.51 1.4 0.76 0.3 0.716
"PDFs " 0.18 2.8 14.03 0.16 1.67 1.96 5.27 1.35 2.21 1.54 0.37 3.34 13.07 0.12 6.76 3.6553333333333327
"Muon Trigger Prefire Correction " 0.15 0.16 1.21 0.03 0.17 0.45 0.47 0.06 0.11 0.14 0.02 0.43 0.0 0.03 0.17 0.23999999999999996
"Diboson Cross Section " 0.14 1.31 3.08 0.03 0.25 0.26 2.05 0.18 0.1 0.05 0.06 0.05 0.11 1.03 0.74 0.6293333333333333
"Muon MisID Normalization " 0.1 0.06 10.07 0.12 0.2 0.14 1.33 0.25 1.19 0.35 0.21 0.33 1.49 0.65 1.28 1.1846666666666665
"$\PGg\PGg$ Cross Section " 0.01 0.92 3.8 0.07 0.2 0.19 0.97 0.06 0.0 0.18 0.01 0.28 1.0 0.42 0.22 0.5553333333333333
