"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"Muon Momentum Scale " 24.33 12.05 3.18 1.2 0.07 2.73 3.94 4.03 0.14 19.26 11.36 33.99 0.73 2.31 0.21 7.968666666666667 9.98893178584288
"MC and MisID Backgrounds Statistical Uncertainty " 22.98 24.44 1.42 2.31 3.47 25.89 1.58 14.74 42.98 4.26 3.2 4.43 32.33 0.41 1.15 12.372666666666666 13.368152934825696
"LQ LO reweighting " 22.18 1.2 3.19 7.51 77.21 29.28 1.17 26.28 2.8 17.33 55.49 15.36 6.54 56.05 37.65 23.949333333333335 22.645463259165666
"$\alpha_s$ + Renormalization/Factorization Scales " 20.94 22.77 25.85 4.48 7.16 26.29 9.17 6.01 49.56 1.76 5.4 8.49 12.05 6.02 7.38 14.222000000000003 12.302702792476133
"DY Cross Section " 5.35 10.61 11.3 1.72 0.76 2.84 0.84 2.05 1.19 8.41 7.32 1.58 33.52 1.91 6.53 6.395333333333332 8.041527107597302
"$\ttbar$ Cross Section " 1.84 7.18 9.41 39.06 3.75 5.89 8.99 33.52 1.26 10.23 3.16 9.39 8.99 9.72 6.1 10.566 10.534502551141179
"Luminosity " 0.72 4.74 0.81 1.36 3.4 0.34 55.57 2.7 0.2 26.02 6.66 2.15 1.86 9.83 25.65 9.467333333333332 14.769553577846855
"$e\mu$ Shape Corrections " 0.53 1.24 7.99 0.19 0.84 1.75 5.93 0.55 0.24 2.46 2.94 5.01 0.82 0.79 0.9 2.1453333333333333 2.2781977282248547
"Muon Identification/Isolation " 0.5 5.73 1.4 0.75 0.2 1.33 7.1 3.77 0.21 3.58 0.37 11.97 0.42 2.73 6.16 3.0813333333333333 3.2809670661085413
"Muon MisID Shape " 0.22 0.2 1.48 0.3 0.13 0.07 0.12 0.32 0.26 0.74 0.37 0.34 0.53 0.73 0.04 0.39 0.35674453978535764
"Muon Trigger " 0.15 0.1 2.46 39.57 0.1 0.19 0.54 0.46 0.01 1.19 0.53 0.75 0.42 0.3 0.63 3.1599999999999997 9.748699742358806
"Pileup " 0.1 0.46 0.44 0.28 0.85 0.64 1.46 0.73 0.06 0.41 0.9 0.04 0.88 1.82 1.97 0.7360000000000001 0.583995433772103
"Muon Trigger Prefire Correction " 0.06 0.19 0.68 0.07 0.15 0.16 0.04 0.15 0.08 0.61 0.18 0.08 0.11 0.65 0.8 0.2673333333333333 0.25808181304040434
"Diboson Cross Section " 0.05 3.07 2.31 0.09 0.23 0.13 0.02 0.38 0.01 0.95 0.36 0.17 0.03 1.02 0.84 0.644 0.8783757738007122
"PDFs " 0.03 4.28 16.68 0.46 1.36 2.35 3.14 2.05 0.86 1.88 1.59 3.09 0.51 4.64 2.77 3.0460000000000007 3.8715075444413984
"$\gamma\gamma$ Cross Section " 0.0 1.44 3.37 0.29 0.12 0.05 0.04 0.29 0.01 0.17 0.01 2.92 0.05 0.89 0.08 0.6486666666666668 1.0539504521349927
"Muon MisID Normalization " 0.0 0.3 8.03 0.38 0.2 0.07 0.35 1.96 0.14 0.74 0.16 0.24 0.22 0.16 1.15 0.9400000000000001 1.9581828310962182
