"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean Std
"LQ LO reweighting " 47.07 5.43 7.8 31.64 44.28 36.1 45.13 11.23 13.88 31.93 63.34 25.9 9.08 31.37 14.71 27.92599999999999 16.760445021935826
"DY Cross Section " 20.54 14.18 29.36 5.99 5.17 15.73 13.27 19.65 2.41 11.91 2.4 22.98 16.93 8.03 1.15 12.646666666666667 8.132581112755995
"$\alpha_s$ + Renormalization/Factorization Scales " 7.01 27.42 6.74 27.81 16.22 12.43 9.91 11.73 11.72 2.4 2.35 20.28 27.15 2.79 32.9 14.590666666666667 9.889850330290928
"MC and MisID Backgrounds Statistical Uncertainty " 5.27 17.34 4.65 0.31 3.26 2.01 7.1 3.49 7.88 7.39 8.33 6.97 4.88 4.3 12.61 6.385999999999999 4.096362288665396
"$\ttbar$ Cross Section " 5.18 5.5 9.97 1.17 6.98 8.98 8.1 0.53 4.69 19.5 6.94 4.54 1.87 13.2 11.26 7.227333333333334 4.796766225512998
"Muon Momentum Scale " 4.05 7.41 4.75 5.71 5.02 5.84 0.74 5.59 14.84 6.07 2.19 5.28 16.96 10.28 3.24 6.5313333333333325 4.252581751778036
"Luminosity " 3.88 6.91 6.73 13.71 6.34 9.7 9.16 0.66 19.58 1.99 6.57 3.83 3.72 13.93 8.83 7.702666666666665 4.869926031836166
"$e\mu$ Shape Corrections " 2.68 2.06 11.47 0.08 1.86 2.7 0.15 2.21 3.64 1.81 1.09 1.33 5.5 1.21 1.92 2.6473333333333335 2.6883339739614858
"PDFs " 0.81 6.22 1.51 5.32 5.58 1.59 0.19 22.78 2.19 8.38 1.54 1.73 4.3 6.88 1.89 4.727333333333333 5.398285489136549
"Muon Trigger Prefire Correction " 0.76 0.16 0.16 0.38 0.48 0.2 0.5 17.24 0.56 0.77 0.91 0.06 0.6 0.12 0.56 1.5639999999999998 4.197189218195116
"Muon Identification/Isolation " 0.68 3.34 2.38 2.31 0.38 0.55 1.04 1.25 10.21 1.91 1.15 1.44 1.5 4.88 2.17 2.3460000000000005 2.383489878308696
"Pileup " 0.55 0.18 2.88 1.52 1.28 2.18 3.49 1.73 1.67 0.36 1.26 3.13 3.2 0.18 5.16 1.918 1.3789764319958482
"Muon MisID Normalization " 0.41 0.1 2.4 0.79 0.58 0.66 0.34 0.39 3.47 1.1 0.04 0.93 1.01 0.67 0.83 0.9146666666666666 0.8690214164347287
"Muon MisID Shape " 0.39 0.9 0.91 0.39 0.42 0.29 0.08 0.3 1.03 1.31 0.57 0.11 1.07 1.03 0.67 0.6313333333333334 0.37319997618196904
"Diboson Cross Section " 0.34 1.89 3.84 0.52 0.85 0.41 0.23 1.02 1.21 1.65 0.86 0.83 0.39 0.33 0.49 0.9906666666666666 0.8974962704967389
"Muon Trigger " 0.25 0.24 2.13 1.11 0.46 0.41 0.29 0.09 0.37 0.53 0.29 0.58 1.02 0.59 0.97 0.6220000000000001 0.4983599769911973
"$\gamma\gamma$ Cross Section " 0.12 0.73 2.32 1.23 0.86 0.22 0.26 0.13 0.65 1.0 0.16 0.12 0.85 0.19 0.63 0.6313333333333334 0.5747099751662185
