"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" Mean
"Muon Momentum Scale " 23.56 12.41 3.86 4.66 0.38 7.6 2.7 3.04 16.83 3.12 7.816
"MC and MisID Backgrounds Statistical Uncertainty " 23.23 24.5 9.78 8.45 2.96 7.21 3.76 1.34 8.61 8.15 9.799000000000001
"PDFs " 22.09 3.92 2.41 2.13 0.91 3.27 1.71 4.36 9.77 0.28 5.084999999999999
"LQ LO reweighting " 17.96 1.1 12.88 39.76 79.34 36.98 42.74 39.93 4.33 50.71 32.57299999999999
"$\alpha_s$ + Renormalization/Factorization Scales " 3.67 20.38 4.55 17.85 5.89 17.94 5.17 7.62 6.09 2.72 9.188
"DY Cross Section " 3.55 12.88 38.79 6.65 0.67 0.85 11.05 19.11 1.22 15.62 11.039
"$\ttbar$ Cross Section " 3.0 7.15 2.95 4.14 3.79 14.43 12.58 10.72 24.87 10.13 9.376
"$e\mu$ Shape Corrections " 1.49 1.9 4.21 1.93 1.14 4.79 1.0 0.7 15.63 1.72 3.4509999999999996
"Muon Trigger " 0.33 0.16 1.05 0.74 0.14 0.99 0.6 0.55 0.21 1.51 0.6279999999999999
"Muon Identification/Isolation " 0.29 5.71 3.22 3.92 0.36 1.65 1.07 1.42 3.4 0.12 2.116
"Muon MisID Shape " 0.29 0.27 1.77 1.25 0.25 0.21 1.04 0.47 2.26 0.74 0.8549999999999999
"Pileup " 0.23 0.29 1.21 1.45 0.82 1.69 1.34 0.85 0.09 0.26 0.8229999999999998
"Luminosity " 0.17 4.28 4.34 4.06 2.88 1.18 14.41 8.17 3.87 3.69 4.704999999999999
"Muon MisID Normalization " 0.05 0.28 5.16 1.2 0.0 0.27 0.13 0.59 1.4 0.14 0.922
"Muon Trigger Prefire Correction " 0.04 0.12 0.88 0.53 0.07 0.22 0.17 0.09 0.45 0.18 0.275
"Diboson Cross Section " 0.04 3.29 1.24 0.35 0.21 0.54 0.24 0.68 0.7 0.15 0.744
"$\gamma\gamma$ Cross Section " 0.01 1.36 1.69 0.91 0.19 0.18 0.3 0.35 0.29 0.77 0.6049999999999999
