"Sys name" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri_x" "%% Contri_y" "%% Contri" Mean
"LQ LO reweighting " 47.98 4.68 7.82 29.83 45.96 15.58 49.78 29.51 20.76 10.63 23.81 18.9 10.97 21.2 36.85 24.95066666666667
"DY Cross Section " 19.12 19.15 30.15 8.16 4.82 14.79 8.92 15.6 13.35 6.08 1.44 16.12 16.85 27.32 19.55 14.761333333333333
"$\alpha_s$ + Renormalization/Factorization Scales " 5.93 18.29 8.0 22.82 16.09 4.48 19.03 14.61 20.22 8.47 21.98 8.06 19.54 7.17 7.85 13.502666666666665
"MC and MisID Backgrounds Statistical Uncertainty " 5.46 18.11 4.62 3.1 2.95 12.92 1.67 7.87 11.41 10.79 14.56 2.67 6.47 18.54 7.02 8.544000000000002
"$\ttbar$ Cross Section " 5.44 4.6 9.12 1.65 7.19 2.16 1.35 6.99 5.28 21.82 8.12 3.62 8.98 13.21 4.6 6.941999999999999
"Luminosity " 4.59 10.01 6.68 15.2 6.13 23.17 3.97 5.15 17.15 13.12 7.47 26.52 22.17 0.77 9.66 11.45066666666667
"Muon Momentum Scale " 3.83 8.82 3.83 6.67 4.82 7.16 4.57 6.5 2.67 12.57 3.84 5.37 5.68 4.1 1.11 5.436000000000001
"$e\mu$ Shape Corrections " 2.58 1.48 11.41 1.26 1.8 3.63 6.24 4.08 1.81 2.28 1.24 2.02 2.06 0.82 1.02 2.915333333333334
"Muon Identification/Isolation " 1.32 3.67 2.43 2.56 0.42 5.33 0.45 2.34 1.3 2.93 0.88 4.64 1.37 2.06 0.2 2.1266666666666665
"PDFs " 1.3 6.84 2.05 3.78 5.64 4.29 0.42 0.4 3.1 4.23 12.14 5.81 1.0 1.2 6.93 3.942
"Muon Trigger Prefire Correction " 0.52 0.28 0.09 0.3 0.28 0.68 0.36 0.23 0.47 0.23 0.07 1.01 0.3 0.79 0.28 0.39266666666666666
"Pileup " 0.51 0.19 1.97 1.88 1.27 0.98 0.59 2.71 0.25 1.59 1.06 0.24 1.7 0.29 1.49 1.1146666666666667
"Muon MisID Shape " 0.49 0.55 0.44 0.49 0.36 0.03 0.29 0.68 0.11 0.31 0.33 1.49 0.1 0.68 0.28 0.442
"Diboson Cross Section " 0.33 2.24 3.0 0.4 0.73 0.23 1.73 0.37 0.74 1.74 0.2 0.23 0.93 0.17 0.57 0.9073333333333334
"Muon MisID Normalization " 0.33 0.27 4.36 0.11 0.14 0.24 0.14 0.95 0.04 0.27 0.38 0.94 1.28 0.4 0.38 0.6820000000000002
"Muon Trigger " 0.21 0.29 1.97 1.04 0.51 2.76 0.13 1.92 0.55 2.31 2.15 1.21 0.16 1.07 1.95 1.2153333333333334
"$\PGg\PGg$ Cross Section " 0.06 0.54 2.07 0.75 0.89 1.55 0.36 0.09 0.78 0.63 0.34 1.14 0.45 0.22 0.25 0.6746666666666667
