"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 588.525390625 19.480382670719344 -6.4745025634765625 3.742117116109672 585.0 585.0
500-700 0.0-0.6 -0.50--0.25 331.2342529296875 10.517886973650247 -7.839029312133789 4.538035008672793 343.0 343.0
500-700 0.0-0.6 -0.25-0.00 264.1210632324219 7.907754420738083 -7.0502610206604 4.113501080014687 267.0 267.0
500-700 0.0-0.6 0.00-0.25 253.14846801757812 7.931729923927378 -6.820562839508057 3.8853667631229376 253.0 253.0
500-700 0.0-0.6 0.25-0.50 271.66015625 7.677268401118339 -7.358487129211426 4.209900798424813 257.0 257.0
500-700 0.0-0.6 0.50-0.75 316.58953857421875 8.53202937319264 -8.777034759521484 5.077473524520111 312.0 312.0
500-700 0.0-0.6 0.75-1.00 403.32391357421875 11.242112956917381 -9.852527618408203 5.787361922822412 385.0 385.0
500-700 0.6-1.0 -1.00--0.75 661.7302856445312 22.34829980461107 -8.804550170898438 5.052760250283039 657.0 657.0
500-700 0.6-1.0 -0.50--0.25 357.7623291015625 11.590877719802224 -5.897604942321777 3.398680437766 329.0 329.0
500-700 0.6-1.0 -0.25-0.00 131.86997985839844 4.966010604944431 -3.5771231651306152 2.0439890495986 130.0 130.0
500-700 0.6-1.0 0.00-0.25 145.97540283203125 5.416621387636895 -3.778900146484375 2.1623329831939806 129.0 129.0
500-700 0.6-1.0 0.25-0.50 173.26866149902344 5.509154185257286 -4.566539287567139 2.6133100980317447 166.0 166.0
500-700 0.6-1.0 0.50-0.75 201.19384765625 6.446571829314544 -5.581238746643066 3.194280629630081 195.0 195.0
500-700 1.0-2.4 -1.00--0.75 579.2251586914062 12.902448870495627 -12.024419784545898 6.884309977457665 521.0 521.0
500-700 1.0-2.4 -0.50--0.25 272.03973388671875 9.633094323646509 -4.71439266204834 2.812240660095729 268.0 268.0
500-700 1.0-2.4 -0.25-0.00 178.6059112548828 7.10001910385309 -3.5128884315490723 2.086620446607586 171.0 171.0
500-700 1.0-2.4 0.00-0.25 238.10208129882812 7.386436047814258 -4.826539993286133 2.8320406947992103 230.0 230.0
500-700 1.0-2.4 0.25-0.50 316.51544189453125 8.468037447443326 -6.773031234741211 3.9516601459160086 315.0 315.0
500-700 1.0-2.4 0.50-0.75 393.23114013671875 9.709006941221244 -9.396120071411133 5.555134773005317 376.0 376.0
700-1000 0.0-0.6 -1.00--0.75 665.3579711914062 16.18825148499707 -15.367531776428223 9.025314038481831 657.0 657.0
700-1000 0.0-0.6 -0.75--0.50 176.61978149414062 10.35229589858011 -4.081807613372803 2.3496290726575193 185.0 185.0
700-1000 0.0-0.6 -0.50--0.25 93.01361846923828 3.221274632330086 -4.9489641189575195 2.870171893883844 90.0 90.0
700-1000 0.0-0.6 -0.25-0.00 81.93936920166016 2.4742146564624576 -4.407330513000488 2.537818000446635 89.0 89.0
700-1000 0.0-0.6 0.00-0.25 77.87481689453125 2.5016007115735572 -4.264997959136963 2.4639971140662285 80.0 80.0
700-1000 0.0-0.6 0.25-0.50 84.55368041992188 2.3813215080175745 -4.595458984375 2.6637429416558196 85.0 85.0
700-1000 0.0-0.6 0.50-0.75 100.62903594970703 2.6883729795227866 -5.443236827850342 3.1317806632547676 96.0 96.0
700-1000 0.0-0.6 0.75-1.00 122.59571838378906 3.8716088538469173 -6.548521995544434 3.742788794445678 111.0 111.0
700-1000 0.6-1.0 -1.00--0.75 203.02090454101562 9.35766231317948 -5.676243305206299 3.3193952298906524 201.0 201.0
700-1000 0.6-1.0 -0.50--0.25 94.6929931640625 4.163390189728336 -3.141666889190674 1.830256466523327 96.0 96.0
700-1000 0.6-1.0 -0.25-0.00 37.49504089355469 1.6551007218034728 -1.830716609954834 1.0542286522994913 34.0 34.0
700-1000 0.6-1.0 0.00-0.25 43.71971130371094 1.5930914037699224 -2.180222749710083 1.2719793854341488 50.0 50.0
700-1000 0.6-1.0 0.25-0.50 55.109703063964844 1.8814321377854162 -2.7400951385498047 1.5940369424587129 49.0 49.0
700-1000 0.6-1.0 0.50-0.75 66.49201965332031 2.1140462714357486 -3.321340560913086 1.90543855840595 72.0 72.0
700-1000 1.0-2.4 -1.00--0.75 183.71226501464844 5.40600172631723 -7.4204511642456055 4.286169826262422 170.0 170.0
700-1000 1.0-2.4 -0.50--0.25 61.8658561706543 3.331274272788498 -1.6214126348495483 0.9588504717303566 72.0 72.0
700-1000 1.0-2.4 -0.25-0.00 41.069419860839844 1.8032056068119668 -1.3131992816925049 0.7497665602441606 41.0 41.0
700-1000 1.0-2.4 0.00-0.25 56.14014434814453 2.1307088001813344 -1.9745097160339355 1.1270903267499182 57.0 57.0
700-1000 1.0-2.4 0.25-0.50 76.03996276855469 2.454800996311242 -2.89169979095459 1.6654006674569817 73.0 73.0
700-1000 1.0-2.4 0.50-0.75 103.58702850341797 2.874354503990414 -4.174645900726318 2.4304854940536518 111.0 111.0
1000-14000 0.0-0.6 -1.00--0.75 188.13214111328125 5.239092748723286 -7.75172233581543 4.596218004337044 202.0 202.0
1000-14000 0.0-0.6 -0.75--0.50 47.5970344543457 3.8650795348712275 -3.064026355743408 2.0425811984265536 44.0 44.0
1000-14000 0.0-0.6 -0.50--0.25 32.22874450683594 1.4613598011463576 -3.6329751014709473 2.35224037879567 31.0 31.0
