"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 585.89453125 19.27814133933251 -4.325173854827881 2.092361844353456 585.0 585.0
500-700 0.0-0.6 -0.50--0.25 328.82244873046875 9.915622241695559 -5.2887983322143555 2.5189919556485916 343.0 343.0
500-700 0.0-0.6 -0.25-0.00 262.058837890625 7.471250523683147 -5.001485347747803 2.4141134984192445 267.0 267.0
500-700 0.0-0.6 0.00-0.25 251.42864990234375 7.488452329079668 -5.05970573425293 2.4245696551711666 253.0 253.0
500-700 0.0-0.6 0.25-0.50 270.0662536621094 7.30213155232729 -5.737849712371826 2.766035082440817 257.0 257.0
500-700 0.0-0.6 0.50-0.75 314.93145751953125 8.072579323033494 -6.557407379150391 3.170003370170619 312.0 312.0
500-700 0.0-0.6 0.75-1.00 401.32025146484375 10.64668079562643 -7.792799949645996 3.7050892648526244 385.0 385.0
500-700 0.6-1.0 -1.00--0.75 659.431640625 21.887979698050785 -6.58506965637207 3.1792830072162577 657.0 657.0
500-700 0.6-1.0 -0.50--0.25 355.90447998046875 11.33727146769858 -3.4835288524627686 1.6660527047513827 329.0 329.0
500-700 0.6-1.0 -0.25-0.00 130.72262573242188 4.819647987925443 -2.2442049980163574 1.0976414472110283 130.0 130.0
500-700 0.6-1.0 0.00-0.25 145.0504150390625 5.174223794805918 -2.9981324672698975 1.4638039798578333 129.0 129.0
500-700 0.6-1.0 0.25-0.50 172.54104614257812 5.268185711232117 -3.8912196159362793 1.8849265249541407 166.0 166.0
500-700 0.6-1.0 0.50-0.75 200.56781005859375 6.135593624651564 -4.637065887451172 2.2891923378878944 195.0 195.0
500-700 1.0-2.4 -1.00--0.75 579.866455078125 12.640378725354816 -10.859216690063477 5.256892067634671 521.0 521.0
500-700 1.0-2.4 -0.50--0.25 270.0958251953125 9.450399178042074 -2.958545684814453 1.468655478575358 268.0 268.0
500-700 1.0-2.4 -0.25-0.00 178.09652709960938 6.972930015037511 -3.101947069168091 1.5272578443025586 171.0 171.0
500-700 1.0-2.4 0.00-0.25 239.06298828125 7.354350007743568 -5.569779396057129 2.7146184741931467 230.0 230.0
500-700 1.0-2.4 0.25-0.50 319.166259765625 8.559879112170668 -8.462821006774902 4.142005528022476 315.0 315.0
500-700 1.0-2.4 0.50-0.75 396.7745361328125 10.048624717364474 -10.956439971923828 5.393794538835077 376.0 376.0
700-1000 0.0-0.6 -1.00--0.75 669.2669677734375 16.540447602852403 -16.78673553466797 8.466775123277221 657.0 657.0
700-1000 0.0-0.6 -0.75--0.50 175.65025329589844 10.277314093483685 -2.7509827613830566 1.362875273317348 185.0 185.0
700-1000 0.0-0.6 -0.50--0.25 92.37989807128906 3.089226034069563 -3.2790191173553467 1.560951419097448 90.0 90.0
700-1000 0.0-0.6 -0.25-0.00 81.36361694335938 2.2911532333482483 -3.119204521179199 1.5108782280496287 89.0 89.0
700-1000 0.0-0.6 0.00-0.25 77.45108795166016 2.362422839260169 -3.162086248397827 1.5174802352307937 80.0 80.0
700-1000 0.0-0.6 0.25-0.50 84.20237731933594 2.2539821245842595 -3.6575164794921875 1.7561992670838256 85.0 85.0
700-1000 0.0-0.6 0.50-0.75 100.27084350585938 2.5455567329389823 -4.487161636352539 2.151869751793175 96.0 96.0
700-1000 0.0-0.6 0.75-1.00 122.24259948730469 3.7207238679581565 -5.430192947387695 2.5982628735607576 111.0 111.0
700-1000 0.6-1.0 -1.00--0.75 202.51803588867188 9.303116010384468 -4.8306450843811035 2.3505788049152763 201.0 201.0
700-1000 0.6-1.0 -0.50--0.25 94.11805725097656 4.089219718350711 -1.9213149547576904 0.9407862434076918 96.0 96.0
700-1000 0.6-1.0 -0.25-0.00 37.175724029541016 1.5809463313930392 -1.3517467975616455 0.6514294321547528 34.0 34.0
700-1000 0.6-1.0 0.00-0.25 43.44620132446289 1.5029868873683985 -1.8414428234100342 0.8903981235861481 50.0 50.0
700-1000 0.6-1.0 0.25-0.50 54.92401885986328 1.793826248601589 -2.559508800506592 1.2344629583825408 49.0 49.0
700-1000 0.6-1.0 0.50-0.75 66.41842651367188 2.033325976475238 -3.3018505573272705 1.587195688346583 72.0 72.0
700-1000 1.0-2.4 -1.00--0.75 184.5514373779297 5.421571823879495 -7.78817892074585 3.765788501278632 170.0 170.0
700-1000 1.0-2.4 -0.50--0.25 61.37929153442383 3.273676434554121 -1.3764208555221558 0.7021675988295105 72.0 72.0
700-1000 1.0-2.4 -0.25-0.00 40.994873046875 1.7813403325090116 -1.5611486434936523 0.7689675249398873 41.0 41.0
700-1000 1.0-2.4 0.00-0.25 56.46172332763672 2.1339224408327215 -2.602823495864868 1.2691124419274404 57.0 57.0
700-1000 1.0-2.4 0.25-0.50 76.78684997558594 2.511632610810051 -4.018855571746826 1.9584298590403575 73.0 73.0
700-1000 1.0-2.4 0.50-0.75 104.74369049072266 3.0252383129659552 -5.843289375305176 2.8789065958140183 111.0 111.0
1000-14000 0.0-0.6 -1.00--0.75 189.89862060546875 5.480804425278354 -10.13905143737793 5.091824419262004 202.0 202.0
1000-14000 0.0-0.6 -0.75--0.50 47.485713958740234 3.8347122501764836 -2.65461802482605 1.3101738099906102 44.0 44.0
1000-14000 0.0-0.6 -0.50--0.25 32.02454376220703 1.4136155975621105 -3.1487364768981934 1.5471112085708891 31.0 31.0
1000-14000 0.0-0.6 -0.25-0.00 29.236553192138672 1.0891179350964078 -2.940175771713257 1.4443995671799703 19.0 19.0
1000-14000 0.0-0.6 0.00-0.25 30.382841110229492 1.1629184274129896 -3.062255620956421 1.5084986043453228 27.0 27.0
1000-14000 0.0-0.6 0.25-0.50 33.87860870361328 1.2027399726996921 -3.631025791168213 1.787014164784654 29.0 29.0
1000-14000 0.0-0.6 0.50-0.75 39.8309326171875 1.4217429784659719 -4.645186424255371 2.265267434596554 35.0 35.0
1000-14000 0.0-0.6 0.75-1.00 47.73961639404297 1.9174325329005872 -5.756389141082764 2.8276738683362868 52.0 52.0
1000-14000 0.6-1.0 -1.00--0.75 63.773128509521484 4.172419770442143 -5.312297821044922 2.5966353279261405 52.0 52.0
1000-14000 0.6-1.0 -0.50--0.25 26.52878189086914 1.8280573032296856 -1.4020664691925049 0.7008608769456713 27.0 27.0
1000-14000 0.6-1.0 -0.25-0.00 12.867630004882812 0.752091367992604 -1.1000347137451172 0.5442815847403872 7.0 7.0
1000-14000 0.6-1.0 0.00-0.25 15.323862075805664 0.7513136529923341 -1.6628873348236084 0.8155798383038462 14.0 14.0
1000-14000 0.6-1.0 0.25-0.50 20.48986053466797 0.9497574736951617 -2.4544920921325684 1.2037059128473666 8.0 8.0
1000-14000 0.6-1.0 0.50-0.75 25.633060455322266 1.0859818591329315 -3.2289235591888428 1.583755551777205 19.0 19.0
1000-14000 1.0-2.4 -1.00--0.75 67.2717056274414 2.4124898052183705 -7.775407791137695 3.853717051582705 55.0 55.0
1000-14000 1.0-2.4 -0.50--0.25 12.042356491088867 1.007314984421306 -0.716201901435852 0.3970496911705592 9.0 9.0
1000-14000 1.0-2.4 -0.25-0.00 8.90377426147461 0.6926084788867787 -0.7240993976593018 0.35673013633380635 3.0 3.0
1000-14000 1.0-2.4 0.00-0.25 12.128324508666992 0.6576170793908804 -1.2374427318572998 0.6104131073871599 13.0 13.0
1000-14000 1.0-2.4 0.25-0.50 17.247699737548828 0.8573584595911672 -1.977484107017517 0.9724583002354148 16.0 16.0
1000-14000 1.0-2.4 0.50-0.75 25.172609329223633 1.1845013666415025 -3.1487436294555664 1.5423959348783252 27.0 27.0
