"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 929.757568359375 17.942815553194027 -1.0449272394180298 1.310641593724831 959.0 959.0
500-700 0.0-0.6 -0.50--0.25 440.4890441894531 10.033672387174645 -0.9828364849090576 1.2337483520827686 456.0 456.0
500-700 0.0-0.6 -0.25-0.00 330.819580078125 7.939528202704885 -0.7662972211837769 0.9577289690205953 335.0 335.0
500-700 0.0-0.6 0.00-0.25 293.193603515625 7.327261856229776 -0.6247065663337708 0.777463834165481 281.0 281.0
500-700 0.0-0.6 0.25-0.50 309.1048583984375 7.241615528850394 -0.5785025358200073 0.7184165495464885 312.0 312.0
500-700 0.0-0.6 0.50-0.75 385.030517578125 8.349980407337673 -0.6564254760742188 0.818283493983787 381.0 381.0
500-700 0.0-0.6 0.75-1.00 540.0340576171875 9.643289886568816 -0.7213714122772217 0.9034497942302755 590.0 590.0
500-700 0.6-1.0 -1.00--0.75 1065.743896484375 18.843017131488697 -0.7584341168403625 0.9455850294764473 1098.0 1098.0
500-700 0.6-1.0 -0.50--0.25 539.040771484375 12.174285433501492 -1.224318027496338 1.5341790505142228 530.0 530.0
500-700 0.6-1.0 -0.25-0.00 173.7307586669922 5.21111256694038 -0.540829062461853 0.6693406196102738 180.0 180.0
500-700 0.6-1.0 0.00-0.25 172.67630004882812 4.790398268368911 -0.41214409470558167 0.5211173371813687 158.0 158.0
500-700 0.6-1.0 0.25-0.50 208.52566528320312 5.068004201082222 -0.3458111584186554 0.43761496786269605 213.0 213.0
500-700 0.6-1.0 0.50-0.75 265.9170837402344 6.23397111806933 -0.33942729234695435 0.41726583162577724 249.0 249.0
500-700 1.0-2.4 -1.00--0.75 868.193603515625 13.562506365266074 -0.5892130136489868 0.7384722015953614 848.0 848.0
500-700 1.0-2.4 -0.50--0.25 304.39227294921875 9.630779741662261 -1.1739656925201416 1.4882893015397802 308.0 308.0
500-700 1.0-2.4 -0.25-0.00 263.11297607421875 8.208229486222388 -1.0123944282531738 1.2657231967078861 251.0 251.0
500-700 1.0-2.4 0.00-0.25 383.09881591796875 8.76422721490419 -0.8437407612800598 1.0652028785381729 405.0 405.0
500-700 1.0-2.4 0.25-0.50 507.9222412109375 9.729517700439269 -0.6081359386444092 0.7663445933097086 548.0 548.0
500-700 1.0-2.4 0.50-0.75 575.214111328125 10.037953507327193 -0.41338810324668884 0.5104335416728064 589.0 589.0
700-1000 0.0-0.6 -1.00--0.75 761.8978271484375 12.513408343788521 -0.3853691518306732 0.4775814274909698 716.0 716.0
700-1000 0.0-0.6 -0.75--0.50 235.77127075195312 5.838840935914281 -0.5868893265724182 0.7676474408986096 229.0 229.0
700-1000 0.0-0.6 -0.50--0.25 118.57038879394531 3.312200463738432 -0.5307036638259888 0.6851935214461704 112.0 112.0
700-1000 0.0-0.6 -0.25-0.00 92.09831237792969 2.389631354612201 -0.44228214025497437 0.5821405112933135 100.0 100.0
700-1000 0.0-0.6 0.00-0.25 87.19639587402344 2.175605152464353 -0.37257668375968933 0.484063257903544 89.0 89.0
700-1000 0.0-0.6 0.25-0.50 94.6475830078125 2.2091965119879267 -0.34434211254119873 0.4463323717930104 107.0 107.0
700-1000 0.0-0.6 0.50-0.75 113.3734130859375 2.690455057544595 -0.35217830538749695 0.4569300747369565 122.0 122.0
700-1000 0.0-0.6 0.75-1.00 160.627197265625 3.946495508528018 -0.39015012979507446 0.5024168835296008 149.0 149.0
700-1000 0.6-1.0 -1.00--0.75 285.7615966796875 6.466735858928949 -0.4264432191848755 0.5621438273021734 282.0 282.0
700-1000 0.6-1.0 -0.50--0.25 125.83134460449219 3.97138255935671 -0.7272123098373413 0.9415340271164551 154.0 154.0
700-1000 0.6-1.0 -0.25-0.00 47.83518981933594 1.495822746302084 -0.29962193965911865 0.3844748132099565 48.0 48.0
700-1000 0.6-1.0 0.00-0.25 51.29084014892578 1.4607468020703664 -0.23535338044166565 0.3111903621820649 46.0 46.0
700-1000 0.6-1.0 0.25-0.50 64.05662536621094 1.6551301649208388 -0.18877950310707092 0.24975034836815774 62.0 62.0
700-1000 0.6-1.0 0.50-0.75 84.3948974609375 1.9527380176268805 -0.1588420569896698 0.19965879947271545 84.0 84.0
700-1000 1.0-2.4 -1.00--0.75 246.99078369140625 4.581282134120951 -0.3048040270805359 0.39120732027169547 240.0 240.0
700-1000 1.0-2.4 -0.50--0.25 70.0334701538086 3.3618233053324635 -0.5758472681045532 0.7490341837328471 56.0 56.0
700-1000 1.0-2.4 -0.25-0.00 64.5220718383789 2.533225687344011 -0.4424668252468109 0.5711885876030304 57.0 57.0
700-1000 1.0-2.4 0.00-0.25 88.09048461914062 2.2712615430043765 -0.3331260681152344 0.42348771487592185 98.0 98.0
700-1000 1.0-2.4 0.25-0.50 120.39042663574219 2.3773846256879496 -0.22679239511489868 0.28001792125774355 120.0 120.0
700-1000 1.0-2.4 0.50-0.75 155.80685424804688 3.2140084687079393 -0.14850521087646484 0.18580479849338477 152.0 152.0
1000-14000 0.0-0.6 -1.00--0.75 215.31314086914062 4.553829988064727 -0.1308767944574356 0.1691402075269358 235.0 235.0
1000-14000 0.0-0.6 -0.75--0.50 62.300994873046875 2.2916260139445743 -0.45220136642456055 0.997099814325676 73.0 73.0
1000-14000 0.0-0.6 -0.50--0.25 40.619972229003906 1.2500777670187102 -0.3926585912704468 0.9031992790820982 44.0 44.0
1000-14000 0.0-0.6 -0.25-0.00 32.24363708496094 0.9461575682121312 -0.3106842041015625 0.7504462777658922 23.0 23.0
1000-14000 0.0-0.6 0.00-0.25 31.90909194946289 0.8536851164666482 -0.2670026421546936 0.6655944920423797 26.0 26.0
1000-14000 0.0-0.6 0.25-0.50 35.96015930175781 0.8559180379331505 -0.24184398353099823 0.6108183468424476 27.0 27.0
1000-14000 0.0-0.6 0.50-0.75 43.39560317993164 1.1011196475093332 -0.2335800975561142 0.555473660844645 42.0 42.0
1000-14000 0.0-0.6 0.75-1.00 58.44176483154297 1.528454204372951 -0.2652883231639862 0.6002245398191008 52.0 52.0
1000-14000 0.6-1.0 -1.00--0.75 85.87034606933594 2.4288215730592526 -0.2817930281162262 0.5917386263598001 74.0 74.0
1000-14000 0.6-1.0 -0.50--0.25 30.9598331451416 1.405243137390474 -0.45922499895095825 0.9812510800689782 31.0 31.0
1000-14000 0.6-1.0 -0.25-0.00 15.18812370300293 0.6044321614835886 -0.18700551986694336 0.43356083296792874 11.0 11.0
1000-14000 0.6-1.0 0.00-0.25 17.506044387817383 0.5233908101953142 -0.13413351774215698 0.3095810191214909 18.0 18.0
1000-14000 0.6-1.0 0.25-0.50 23.250377655029297 1.2021095681813605 -0.10021988302469254 0.23447023817482107 24.0 24.0
1000-14000 0.6-1.0 0.50-0.75 31.60472297668457 0.9236266578178928 -0.08394725620746613 0.19887288561696972 28.0 28.0
1000-14000 1.0-2.4 -1.00--0.75 83.47677612304688 2.0134523946120906 -0.12590479850769043 0.24472730258854078 70.0 70.0
1000-14000 1.0-2.4 -0.50--0.25 15.512681007385254 1.2121593321373707 -0.2688634693622589 0.528027145402313 14.0 14.0
