"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 941.684326171875 18.4223562488398 -10.462255477905273 4.639771034552648 959.0 959.0
500-700 0.0-0.6 -0.50--0.25 450.9967041015625 10.48396988460124 -9.609230995178223 4.301989455655208 456.0 456.0
500-700 0.0-0.6 -0.25-0.00 339.9504699707031 8.462222739300383 -8.948613166809082 4.117995764602191 335.0 335.0
500-700 0.0-0.6 0.00-0.25 301.1720886230469 7.8628275702669 -7.866283416748047 3.4936790711130516 281.0 281.0
500-700 0.0-0.6 0.25-0.50 317.9027099609375 7.8128865538465515 -8.51632022857666 3.7690723696849324 312.0 312.0
500-700 0.0-0.6 0.50-0.75 396.1105041503906 9.121284345465481 -10.462475776672363 4.723217107442086 381.0 381.0
500-700 0.0-0.6 0.75-1.00 555.1043090820312 10.556474354444934 -13.2684907913208 5.894155196919141 590.0 590.0
500-700 0.6-1.0 -1.00--0.75 1082.3868408203125 19.638062801024567 -14.427501678466797 6.379534830168741 1098.0 1098.0
500-700 0.6-1.0 -0.50--0.25 548.3739013671875 12.482360276920394 -8.360294342041016 3.7017593000805338 530.0 530.0
500-700 0.6-1.0 -0.25-0.00 178.45626831054688 5.457911470600274 -4.6235151290893555 2.084671676403058 180.0 180.0
500-700 0.6-1.0 0.00-0.25 177.6060791015625 5.083192069822572 -4.726144313812256 2.121692740366794 158.0 158.0
500-700 0.6-1.0 0.25-0.50 214.80142211914062 5.680174320413905 -5.654963493347168 2.5351879461569404 213.0 213.0
500-700 0.6-1.0 0.50-0.75 274.5885314941406 6.733128380896562 -7.425704479217529 3.333072634800901 249.0 249.0
500-700 1.0-2.4 -1.00--0.75 888.9376831054688 14.817305403509538 -17.279190063476562 7.66640176358643 848.0 848.0
500-700 1.0-2.4 -0.50--0.25 309.2085266113281 9.729922796712977 -5.414486885070801 2.413221661837101 308.0 308.0
500-700 1.0-2.4 -0.25-0.00 268.0381774902344 8.35866484332413 -5.665534496307373 2.5080156625292247 251.0 251.0
500-700 1.0-2.4 0.00-0.25 392.497314453125 9.641133268166678 -7.891082286834717 3.5139172821181313 405.0 405.0
500-700 1.0-2.4 0.25-0.50 522.3451538085938 11.017172916889589 -11.143058776855469 4.931757710443733 548.0 548.0
500-700 1.0-2.4 0.50-0.75 593.4052734375 11.269714927232341 -13.993963241577148 6.219607479539787 589.0 589.0
700-1000 0.0-0.6 -1.00--0.75 783.817138671875 14.257255208825962 -16.510345458984375 7.27721185853722 716.0 716.0
700-1000 0.0-0.6 -0.75--0.50 239.73057556152344 6.008798220606482 -6.4411468505859375 2.7899306088977585 229.0 229.0
700-1000 0.0-0.6 -0.50--0.25 122.43714141845703 3.525024935195441 -5.775701522827148 2.5692761490199865 112.0 112.0
700-1000 0.0-0.6 -0.25-0.00 95.3568115234375 2.5795806522303817 -4.977381706237793 2.1774660886926704 100.0 100.0
700-1000 0.0-0.6 0.00-0.25 90.40277862548828 2.3766976439384275 -4.7772369384765625 2.1396083726294113 89.0 89.0
700-1000 0.0-0.6 0.25-0.50 98.22113037109375 2.455649485323071 -5.193714141845703 2.3167618372431287 107.0 107.0
700-1000 0.0-0.6 0.50-0.75 117.773193359375 2.928391040831439 -6.291501045227051 2.7336496790567537 122.0 122.0
700-1000 0.0-0.6 0.75-1.00 166.50390625 4.269324029079828 -7.892374038696289 3.5051536562146914 149.0 149.0
700-1000 0.6-1.0 -1.00--0.75 292.50286865234375 6.792766354099962 -8.841636657714844 3.8383046023036598 282.0 282.0
700-1000 0.6-1.0 -0.50--0.25 128.58551025390625 3.977904238132492 -4.372317314147949 1.9159266456990194 154.0 154.0
700-1000 0.6-1.0 -0.25-0.00 49.30579376220703 1.5750814342702675 -2.2494585514068604 0.9939131638113943 48.0 48.0
700-1000 0.6-1.0 0.00-0.25 52.97382354736328 1.5364589170125518 -2.631070613861084 1.146856510997269 46.0 46.0
700-1000 0.6-1.0 0.25-0.50 66.36144256591797 1.8305674208036233 -3.3130903244018555 1.4459911373652334 62.0 62.0
700-1000 0.6-1.0 0.50-0.75 87.5372314453125 2.167467335010454 -4.3034257888793945 1.8882699318553007 84.0 84.0
700-1000 1.0-2.4 -1.00--0.75 254.7177734375 5.098045483839672 -10.68679428100586 4.676428183479989 240.0 240.0
700-1000 1.0-2.4 -0.50--0.25 71.40557861328125 3.388945981825267 -1.9170341491699219 0.8813268989349825 56.0 56.0
700-1000 1.0-2.4 -0.25-0.00 66.11550903320312 2.6252932934852953 -2.091461658477783 0.9179367593593395 57.0 57.0
700-1000 1.0-2.4 0.00-0.25 90.53416442871094 2.460055409966052 -3.1172032356262207 1.3422489091912648 98.0 98.0
700-1000 1.0-2.4 0.25-0.50 124.23985290527344 2.705421677859987 -4.650491714477539 2.0225906477110605 120.0 120.0
700-1000 1.0-2.4 0.50-0.75 161.73182678222656 3.667491277259602 -6.3818230628967285 2.800708061293071 152.0 152.0
1000-14000 0.0-0.6 -1.00--0.75 222.76327514648438 5.0245123116512 -8.541895866394043 3.7721899770727085 235.0 235.0
1000-14000 0.0-0.6 -0.75--0.50 64.11614990234375 2.3523597067258937 -4.69378137588501 2.1844681551487515 73.0 73.0
1000-14000 0.0-0.6 -0.50--0.25 42.17035675048828 1.312702606460333 -4.2703094482421875 1.9444750302723548 44.0 44.0
1000-14000 0.0-0.6 -0.25-0.00 33.43252182006836 1.0152805638356188 -3.6319925785064697 1.627917676794937 23.0 23.0
