"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 930.3065795898438 17.938884644355696 -1.4088847637176514 1.0386137065317687 959.0 959.0
500-700 0.0-0.6 -0.50--0.25 441.062744140625 10.047897136547586 -1.1808726787567139 0.8790765459296493 456.0 456.0
500-700 0.0-0.6 -0.25-0.00 331.31085205078125 7.951550265748394 -0.9675626754760742 0.7119963768548911 335.0 335.0
500-700 0.0-0.6 0.00-0.25 293.5828552246094 7.339263951387671 -0.8247169256210327 0.6103046325466117 281.0 281.0
500-700 0.0-0.6 0.25-0.50 309.42431640625 7.24909383785182 -0.7419725060462952 0.549446680161789 312.0 312.0
500-700 0.0-0.6 0.50-0.75 385.2974548339844 8.37073602311142 -0.7409595251083374 0.5470267037143558 381.0 381.0
500-700 0.0-0.6 0.75-1.00 540.2403564453125 9.667442718075879 -0.8351359963417053 0.6226325092667537 590.0 590.0
500-700 0.6-1.0 -1.00--0.75 1065.763671875 18.843182251109443 -0.8676961660385132 0.6406451542956715 1098.0 1098.0
500-700 0.6-1.0 -0.50--0.25 540.2701416015625 12.185307769030185 -1.9802625179290771 1.4591891278751759 530.0 530.0
500-700 0.6-1.0 -0.25-0.00 174.20034790039062 5.217120316986531 -0.7989739179611206 0.5897155613666979 180.0 180.0
500-700 0.6-1.0 0.00-0.25 173.00555419921875 4.794527208156888 -0.5942533016204834 0.4422409737339411 158.0 158.0
500-700 0.6-1.0 0.25-0.50 208.70895385742188 5.07296804739909 -0.4495343267917633 0.3346802462894459 213.0 213.0
500-700 0.6-1.0 0.50-0.75 266.0079345703125 6.257043459061132 -0.3732187747955322 0.2736830834425033 249.0 249.0
500-700 1.0-2.4 -1.00--0.75 868.0625 13.605750565259376 -0.6055281758308411 0.44765920275231497 848.0 848.0
500-700 1.0-2.4 -0.50--0.25 305.92987060546875 9.664082462921714 -2.3190972805023193 1.7281086436798772 308.0 308.0
500-700 1.0-2.4 -0.25-0.00 264.3777160644531 8.2547774288867 -1.9935896396636963 1.477336595110882 251.0 251.0
500-700 1.0-2.4 0.00-0.25 384.0646057128906 8.794582003094739 -1.7064231634140015 1.2640211354295174 405.0 405.0
500-700 1.0-2.4 0.25-0.50 508.3551025390625 9.768265904893717 -1.1396939754486084 0.8448713127025539 548.0 548.0
500-700 1.0-2.4 0.50-0.75 575.213623046875 10.107196888185156 -0.6116365194320679 0.45178085593823575 589.0 589.0
700-1000 0.0-0.6 -1.00--0.75 761.6162109375 12.562087435341068 -0.3866964280605316 0.28914439430007943 716.0 716.0
700-1000 0.0-0.6 -0.75--0.50 236.0080108642578 5.847237502316527 -0.9026793837547302 0.6629515118331794 229.0 229.0
700-1000 0.0-0.6 -0.50--0.25 118.83578491210938 3.319706094572826 -0.7853684425354004 0.5775357062822527 112.0 112.0
