"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
500-700 0.0-0.6 -1.00--0.75 0.0 0.0 0.0 0.0 0.0 0.0
500-700 0.0-0.6 -0.75--0.50 939.3659057617188 18.12586106457942 -8.593557357788086 2.875359417985697 959.0 959.0
500-700 0.0-0.6 -0.50--0.25 450.59088134765625 10.358752908477745 -8.119114875793457 2.715030239111728 456.0 456.0
500-700 0.0-0.6 -0.25-0.00 340.42205810546875 8.380546172124843 -7.11710262298584 2.3787425449978974 335.0 335.0
500-700 0.0-0.6 0.00-0.25 302.1575927734375 7.7718690192519215 -7.05330228805542 2.345901199719535 281.0 281.0
500-700 0.0-0.6 0.25-0.50 319.3212890625 7.770415223389289 -7.858509063720703 2.613808618041387 312.0 312.0
500-700 0.0-0.6 0.50-0.75 397.712158203125 8.974704977863462 -9.333203315734863 3.112128846348344 381.0 381.0
500-700 0.0-0.6 0.75-1.00 556.77978515625 10.383704427543675 -11.614988327026367 3.882671322347085 590.0 590.0
500-700 0.6-1.0 -1.00--0.75 1082.878662109375 19.317125695590583 -13.975436210632324 4.684127705250616 1098.0 1098.0
500-700 0.6-1.0 -0.50--0.25 546.3599853515625 12.307000967889726 -5.9368791580200195 1.9585604743146718 530.0 530.0
500-700 0.6-1.0 -0.25-0.00 178.3424072265625 5.384594806818703 -3.5506303310394287 1.200469966343395 180.0 180.0
500-700 0.6-1.0 0.00-0.25 178.22445678710938 5.061169377424302 -4.26474666595459 1.428525184292788 158.0 158.0
500-700 0.6-1.0 0.25-0.50 216.19769287109375 5.649982095827722 -5.68032169342041 1.8982774375542784 213.0 213.0
500-700 0.6-1.0 0.50-0.75 276.6899108886719 6.723307022088803 -7.753386974334717 2.60780645355295 249.0 249.0
500-700 1.0-2.4 -1.00--0.75 894.0474853515625 14.806701902495501 -19.573348999023438 6.528880528935952 848.0 848.0
500-700 1.0-2.4 -0.50--0.25 306.80291748046875 9.617343184559004 -3.726440906524658 1.246041498863425 308.0 308.0
500-700 1.0-2.4 -0.25-0.00 267.3118591308594 8.254828527788506 -5.776755332946777 1.9342467668282222 251.0 251.0
500-700 1.0-2.4 0.00-0.25 394.44573974609375 9.516406662236989 -10.723954200744629 3.610689002270736 405.0 405.0
500-700 1.0-2.4 0.25-0.50 527.38916015625 11.06092713369411 -16.2773494720459 5.473901947662422 548.0 548.0
500-700 1.0-2.4 0.50-0.75 600.5150146484375 11.385606988855898 -19.36575698852539 6.4733153674819635 589.0 589.0
700-1000 0.0-0.6 -1.00--0.75 792.29296875 14.625452291559908 -22.855640411376953 7.631561439059484 716.0 716.0
700-1000 0.0-0.6 -0.75--0.50 239.16525268554688 5.96326491394714 -5.425834655761719 1.8045050819445898 229.0 229.0
700-1000 0.0-0.6 -0.50--0.25 122.60557556152344 3.4816014801818334 -4.891319274902344 1.629110402769455 112.0 112.0
700-1000 0.0-0.6 -0.25-0.00 95.65155792236328 2.5205028893736654 -4.276434421539307 1.4334949871150384 100.0 100.0
700-1000 0.0-0.6 0.00-0.25 90.89598083496094 2.3359468049708725 -4.409209251403809 1.4740189593506052 89.0 89.0
700-1000 0.0-0.6 0.25-0.50 98.88555908203125 2.398097101892267 -5.01664924621582 1.677525848369877 107.0 107.0
700-1000 0.0-0.6 0.50-0.75 118.68531799316406 2.910474927692827 -6.205735206604004 2.081637235066 122.0 122.0
700-1000 0.0-0.6 0.75-1.00 167.59495544433594 4.225407869168951 -8.148944854736328 2.7144530677592993 149.0 149.0
700-1000 0.6-1.0 -1.00--0.75 293.31121826171875 6.745905479299455 -9.633811950683594 3.2241100273886127 282.0 282.0
700-1000 0.6-1.0 -0.50--0.25 127.93510437011719 3.9369497045556425 -3.369394302368164 1.1233188171395059 154.0 154.0
700-1000 0.6-1.0 -0.25-0.00 49.29595947265625 1.5546918492964337 -2.133451223373413 0.7081863301848391 48.0 48.0
700-1000 0.6-1.0 0.00-0.25 53.23468780517578 1.5160436219074076 -2.698232412338257 0.9017544992567893 46.0 46.0
700-1000 0.6-1.0 0.25-0.50 66.947509765625 1.8254638168282167 -3.778564929962158 1.2618743771806797 62.0 62.0
700-1000 0.6-1.0 0.50-0.75 88.43714904785156 2.1625581911910676 -5.269236087799072 1.7498527754896298 84.0 84.0
700-1000 1.0-2.4 -1.00--0.75 256.9693603515625 5.139576736398447 -13.239821434020996 4.397733853309247 240.0 240.0
700-1000 1.0-2.4 -0.50--0.25 70.71247863769531 3.3749848059599494 -1.8192405700683594 0.6100826849962834 56.0 56.0
700-1000 1.0-2.4 -0.25-0.00 66.00231170654297 2.591136303306711 -2.8309764862060547 0.9416649466427658 57.0 57.0
700-1000 1.0-2.4 0.00-0.25 91.08036804199219 2.454489986594385 -5.026576995849609 1.678363009511024 98.0 98.0
700-1000 1.0-2.4 0.25-0.50 125.64610290527344 2.738761763297499 -7.818056583404541 2.606555130794729 120.0 120.0
700-1000 1.0-2.4 0.50-0.75 164.0272216796875 3.7240337234386063 -10.510297775268555 3.504013735781675 152.0 152.0
1000-14000 0.0-0.6 -1.00--0.75 225.9118194580078 5.171449285092148 -13.775992393493652 4.588676910169557 235.0 235.0
1000-14000 0.0-0.6 -0.75--0.50 64.11247253417969 2.333261035002164 -4.8033552169799805 1.5746211367915193 73.0 73.0
1000-14000 0.0-0.6 -0.50--0.25 42.2646484375 1.3090100307923282 -4.5706939697265625 1.526989739158074 44.0 44.0
