
Processing Fitting/LQ_draw_templates.C...
=========================
 m_LQ = 1000.000000, use_LQ_denom = 1, draw_muons = 0, draw_electrons = 1 
=========================
init year 2016  
Setting up SF's 
TH1.Print Name  = emu16_cost_ratio, Entries= 22022, Total sum= 7.5015
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.36, new is -0.23 

MC templates generated from 244464 events. Sym integral is 3651.6 
 
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 1, converted_index = 1, pure_content= 0.000000774531
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 2, converted_index = 2, pure_content= 0.000000052748
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 3, converted_index = 3, pure_content= 0.000000059973
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 4, converted_index = 4, pure_content= 0.000000059920
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 5, converted_index = 5, pure_content= 0.000000059920
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 6, converted_index = 6, pure_content= 0.000000059973
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 7, converted_index = 7, pure_content= 0.000000052748
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 8, converted_index = 8, pure_content= 0.000000774531
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 1, converted_index = 9, pure_content= -0.000000040370
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 2, converted_index = 10, pure_content= 0.000000033642
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 3, converted_index = 11, pure_content= 0.000003113418
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 4, converted_index = 12, pure_content= 0.000000034407
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 5, converted_index = 13, pure_content= 0.000000034407
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 6, converted_index = 14, pure_content= 0.000003113418
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 7, converted_index = 15, pure_content= 0.000000033642
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 8, converted_index = 16, pure_content= -0.000000040370
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 1, converted_index = 17, pure_content= 0.000000017039
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 2, converted_index = 18, pure_content= 0.000000041637
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 3, converted_index = 19, pure_content= -0.000000324071
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 4, converted_index = 20, pure_content= 0.000000026653
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 5, converted_index = 21, pure_content= 0.000000026653
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 6, converted_index = 22, pure_content= -0.000000324071
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 7, converted_index = 23, pure_content= 0.000000041637
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 8, converted_index = 24, pure_content= 0.000000017039
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 1, converted_index = 25, pure_content= 0.000000000650
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 2, converted_index = 26, pure_content= 0.000000012240
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 3, converted_index = 27, pure_content= 0.000000021935
